Sent_id,sentence,term1,b1,e1,term2,b2,e2,cause sentence-relation score,sentence clarity,cause crowd training score for 0.1 neg/pos thresh,cause crowd training score for 0.2 neg/pos thresh,cause crowd training score for 0.3 neg/pos thresh,cause crowd training score for 0.4 neg/pos thresh,cause crowd training score for 0.5 neg/pos thresh,cause crowd training score for 0.6 neg/pos thresh,cause crowd training score for 0.7 neg/pos thresh,cause crowd training score for 0.8 neg/pos thresh,cause crowd training score for 0.9 neg/pos thresh,cause baseline training score,cause single training score,distant supervision term1,distant supervision term2,UMLS seed relation
900033,It is accepted that ALLERGY is not the sole cause of asthma but nonetheless HYPERSENSITIVITY TO ENVIRONMENTAL ALLERGENS is a significant triggering factor in most countries of the world.,HYPERSENSITIVITY TO ENVIRONMENTAL ALLERGENS,76,118,ALLERGY,20,27,0.91914503,0.91914503,0.986524171666667,0.984839693125,0.982673935,0.9797862575,0.975743509,0.96967938625,0.959572515,0.9393587725,0.878717545,1,1,HYPERSENSITIVITY,ALLERGY,RO-cause_of
900035,Lactated Ringer's solution has been used for decades in the resuscitation of HYPOVOLEMIA and HEMORRHAGIC SHOCK,HEMORRHAGIC SHOCK,93,110,HYPOVOLEMIA,77,88,0.1386750491,0.9707253434,0.856445841516667,-0.895993713175,-0.93066247545,-0.9479968565875,-0.95839748527,-0.965331237725,-0.97028391805,-0.97399842829375,-0.976887491816667,1,-1,HEMORRHAGIC SHOCK,HYPOVOLEMIA,RO-cause_of
900039,Direct immunofluorescence of the affected skin provided supportive evidence of cutaneous lupus in 60% of MALAR LUPUS RASHES and approximately 50% of subacute cutaneous and DISCOID LUPUS rashes.,DISCOID LUPUS,172,184,MALAR LUPUS RASHES,105,123,0.246182982,0.8616404369,0.874363830333333,0.858659309125,-0.876908509,-0.90768138175,-0.9261451054,-0.9384542545,-0.947246503857143,-0.953840690875,-0.958969503,1,-1,DISCOID LUPUS,LUPUS,RO-cause_of
900040,A combination of various kinds of ALLERGIC REACTIONS of both the specific immediate type and of the local reaction of HYPERSENSITIVITY of the slow type plays its role in the development of acute appendicitis.,HYPERSENSITIVITY,118,134,ALLERGIC REACTIONS,34,52,0.6099942813,0.7624928517,0.934999046883333,0.92687392774375,0.916427345992857,0.902498570325,0.88299828439,0.8537478554875,-0.869286939721429,-0.88562607225625,-0.89833428645,1,-1,HYPERSENSITIVITY,ALLERGIC REACTIONS,RO-cause_of
900043,"ATOPIC RESPIRATORY DISEASES such as ALLERGIC RHINITIS and asthma represent the effects of an immunological response to allergens, mediated through immunoglobulins E. Development of a clinically significant atopic reaction depends on environmental exposure.",ALLERGIC RHINITIS,36,53,ATOPIC RESPIRATORY DISEASES,0,27,0,0.8082903769,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,ALLERGIC RHINITIS,ATOPIC,RO-cause_of
900046,"Diabetic neuropathy is common in patients with DIABETES MELLITUS, and 7.5% of diabetics experience pain from DIABETIC NEUROPATHY",DIABETIC NEUROPATHY,109,128,DIABETES MELLITUS,47,64,0.9091372901,0.9091372901,0.984856215016667,0.98296324189375,0.980529419307143,0.977284322525,0.97274118703,0.9659264837875,0.95456864505,0.931852967575,0.86370593515,1,1,DIABETIC NEUROPATHY,DIABETES MELLITUS,RO-cause_of
900052,"The prevalences of current asthma, cumulative asthma and asthma like symptoms were found in 1.2, 1.0 and 25.0%, respectively, of the 20 44 years age group and the prevalences of ALLERGIC RHINITIS allergic dermatitis and FAMILY ATOPY were found in 14.5, 10.9, and 15.2%, respectively, in all age group.",ALLERGIC RHINITIS,178,194,FAMILY ATOPY,220,232,0.0949157996,0.9491579958,-0.8576263006,-0.9288131503,-0.9525421002,-0.96440657515,-0.97152526012,-0.9762710501,-0.979660900085714,-0.982203287575,-0.984180700066667,1,-1,ALLERGIC RHINITIS,ATOPY,RO-cause_of
900053,"Evidence: ? A retrospective study showed that the nature of the COLONIC ISCHEMIA (i.e., SPONTANEOUS ISCHEMIC COLITIS versus ischemia related to shock from other disease) is predictive of mortality.",SPONTANEOUS ISCHEMIC COLITIS,88,115,COLONIC ISCHEMIA,64,80,0.3049971407,0.914991422,0.884166190116667,0.86968696388125,0.851070815864286,-0.8856260722375,-0.90850085779,-0.923750714825,-0.93464346985,-0.94281303611875,-0.949167143216667,1,-1,ISCHEMIC COLITIS,ISCHEMIA,RO-cause_of
900054,"PCT and other calcitonin precursors in serum are present at less than 50 pg/ml in healthy individuals, but are highly elevated in serum where conditions leading to SYSTEMIC INFLAMMATORY RESPONSE SYNDROME or SEPSIS prevail",SYSTEMIC INFLAMMATORY RESPONSE SYNDROME,164,203,SEPSIS,207,213,0,0.91914503,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,SYSTEMIC INFLAMMATORY RESPONSE SYNDROME,SEPSIS,RO-cause_of
900055,"Infectious causes of conjunctivitis should always be investigated, but ALLERGIES and HYPERSENSITIVITY also should be considered if the history is appropriate",ALLERGIES,71,80,HYPERSENSITIVITY,85,101,0.4,0.8,0.9,0.8875,0.871428571428571,0.85,-0.88,-0.9,-0.914285714285714,-0.925,-0.933333333333333,1,1,ALLERGIES,HYPERSENSITIVITY,RO-cause_of
900064,"Hypersensitivity Reactions  Possible anaphylactic or allergic reactions; CUTANEOUS ALLERGIC REACTIONS and serious ALLERGIC VASCULITIS often with purpura of extremities and extracutaneous involvement (e.g., renal.",ALLERGIC VASCULITIS,114,132,CUTANEOUS ALLERGIC REACTIONS,73,101,0.2847473987,0.9491579958,0.880791233116667,0.86589013725625,-0.85762630065,-0.8932197254875,-0.91457578039,-0.928813150325,-0.938982700278571,-0.94660986274375,-0.952542100216667,1,-1,ALLERGIC VASCULITIS,ALLERGIC REACTIONS,RO-cause_of
900071,Analysis of the mortality of children with INSULIN DEPENDENT DIABETES in Moscow in the eighties revealed a very high specific incidence of DIABETIC KETOACIDOSIS the principal cause of lethal outcomes occurring in the period of the disease manifestation in more than a half of the analyzed cases.,DIABETIC KETOACIDOSIS,139,159,INSULIN DEPENDENT DIABETES,43,69,0.7022468832,0.7022468832,0.950374480533333,0.9441712906,0.936195760685714,0.9255617208,0.91067406496,0.8883425812,0.8511234416,-0.8683287094,-0.8829588528,1,1,DIABETIC KETOACIDOSIS,DIABETES,RO-cause_of
900074,Rationale: ? A significant number of new cases of DIABETES MELLITUS begin as DIABETIC KETOACIDOSIS,DIABETES MELLITUS,50,67,DIABETIC KETOACIDOSIS,77,97,0.6099942813,0.6099942813,0.934999046883333,0.92687392774375,0.916427345992857,0.902498570325,0.88299828439,0.8537478554875,-0.869286939721429,-0.88562607225625,-0.89833428645,1,-1,DIABETIC KETOACIDOSIS,DIABETES MELLITUS,RO-cause_of
900076,The prerequisite condition includes: (1) diagnosed as DIABETES and (2) other neuropathies than DIABETIC NEUROPATHY can be excluded.,DIABETIC NEUROPATHY,95,113,DIABETES,54,62,0.254000254,0.889000889,0.875666709,0.860125047625,-0.872999873,-0.90474990475,-0.9237999238,-0.9364999365,-0.945571374142857,-0.952374952375,-0.957666624333333,1,-1,DIABETIC NEUROPATHY,DIABETES,RO-cause_of
900077,"Incidence and relative risk of ATOPIC DISEASE (atopic dermatitis; AD, bronchial asthma; BA, ALLERGIC RHINITIS AR) in Japanese infants and children in relation to their nutrition in infancy was analyzed from the data of the epidemiological survey which was conducted for 10,000 mothers of infants and children in 1993.",ATOPIC DISEASE,31,45,ALLERGIC RHINITIS AR,92,111,0.4364357805,0.6546536707,0.906072630083333,0.89433170884375,0.879236238678571,0.859108945125,-0.86906926585,-0.890891054875,-0.906478047035714,-0.91816829115625,-0.92726070325,1,-1,ALLERGIC RHINITIS,ATOPIC,RO-cause_of
900083,These data support the hypothesis concerning a pathogenetic role of IFN in the development of ALLERGY of the immediate type HYPERSENSITIVITY,ALLERGY,94,100,HYPERSENSITIVITY,124,140,0.8980265101,0.8980265101,0.98300441835,0.98087997064375,0.978148537878571,0.974506627525,0.96940795303,0.9617599412875,0.94901325505,0.923519882575,-0.850328914983333,1,1,ALLERGY,HYPERSENSITIVITY,RO-cause_of
900088,The ocular symptoms associated with the most common OCULAR ALLERGY CONDITIONS such as seasonal and PERENNIAL ALLERGIC CONJUNCTIVITIS are twice as likely to affect the allergy sufferer rather than nasal symptoms alone.,PERENNIAL ALLERGIC CONJUNCTIVITIS,99,131,OCULAR ALLERGY CONDITIONS,52,77,0.7715167498,0.7715167498,0.9619194583,0.9571593905875,0.951039303528571,0.94287918745,0.93145502494,0.914318781175,0.8857583749,-0.8553406094125,-0.871413875033333,1,1,PERENNIAL ALLERGIC CONJUNCTIVITIS,ALLERGY,RO-cause_of
900099,"The HYPERSENSITIVITY proved to be due to an ALLERGY to a reaction product, and the simultaneous presence of the preservatives 1,3,5 trihydroxyethylhexahydrotriazine and thymol was found to be necessary for the occurrence of a positive patch test reaction.",HYPERSENSITIVITY,4,19,ALLERGY,44,51,0.9965457582,0.9965457582,0.999424293033333,0.9993523296625,0.999259805328572,0.99913643955,0.99896372746,0.998704659325,0.9982728791,0.99740931865,0.9948186373,1,-1,HYPERSENSITIVITY,ALLERGY,RO-cause_of
900105,Thyrotoxicosis in GRAVES' DISEASE is often aggravated in early pregnancy and this aggravation is associated with postpartum relapse of THYROTOXICOSIS.,GRAVES' DISEASE,18,32,THYROTOXICOSIS,135,149,0.4472135955,0.894427191,0.907868932583333,0.89635254915625,0.881545770464286,0.861803398875,-0.86583592135,-0.888196601125,-0.90416851525,-0.91614745084375,-0.92546440075,1,1,GRAVES' DISEASE,THYROTOXICOSIS,RO-cause_of
900111,The Basenji greyhound (BG) has been proposed as A MODEL OF ATOPIC DISEASE because of its CHRONIC RELAPSING ATOPIC DERMATITIS as well as airway hyperresponsiveness.,CHRONIC RELAPSING ATOPIC DERMATITIS,89,123,A MODEL OF ATOPIC DISEASE,48,72,0.8980265101,0.8980265101,0.98300441835,0.98087997064375,0.978148537878571,0.974506627525,0.96940795303,0.9617599412875,0.94901325505,0.923519882575,-0.850328914983333,1,-1,ATOPIC DERMATITIS,ATOPIC,RO-cause_of
900112,"Hyperglycemic Effects  Hyperglycemia, new onset diabetes mellitus, or exacerbation of preexisting DIABETES MELLITUS reported with use of PIs; DIABETIC KETOACIDOSIS has occurred.",DIABETIC KETOACIDOSIS,142,162,DIABETES MELLITUS,98,115,0.790569415,0.790569415,0.9650949025,0.9607317653125,0.9551220175,0.94764235375,0.9371708245,0.921463530625,0.8952847075,-0.8517682346875,-0.868238430833333,1,1,DIABETIC KETOACIDOSIS,DIABETES,RO-cause_of
900113,A patient presented with a HYPERSENSITIVITY REACTION to the aromatic anticonvulsants which evolved into STEVENS-JOHNSON SYNDROME and was complicated by the presence of adult respiratory distress syndrome,STEVENS-JOHNSON SYNDROME,104,128,HYPERSENSITIVITY REACTION,27,52,0.9258200998,0.9258200998,0.9876366833,0.9860912687125,0.9841043071,0.98145502495,0.97774602994,0.972182537425,0.9629100499,0.94436507485,0.8887301497,1,-1,STEVENS-JOHNSON SYNDROME,HYPERSENSITIVITY REACTION,RO-cause_of
900115,"Both the concept of SYSTEMIC INFLAMMATORY RESPONSE SYNDROME (SIRS) and the definition of SEPSIS as the systemic response to infection, have actually been overwhelming and its generalization is contributing on the better prognosis after treatment for the patients with sepsis and also on the pioneer researches in this field, using molecular biology techniques.",SYSTEMIC INFLAMMATORY RESPONSE SYNDROME,20,58,SEPSIS,89,95,0,0.9704949588,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,SYSTEMIC INFLAMMATORY RESPONSE SYNDROME,SEPSIS,RO-cause_of
900119,asphyxiate    (                audio )  To cause ASPHYXIATION or ASPHYXIA,ASPHYXIATION,49,61,ASPHYXIA,65,73,0,0.7624928517,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,ASPHYXIATION,ASPHYXIA,RO-cause_of
900125,"In Switzerland, unlike other countries, ALLERGIC REACTIONS to ants are a rare phenomenon when compared to the well known ALLERGIES TO BEE AND wasp venom.",ALLERGIC REACTIONS,40,57,ALLERGIES TO BEE AND,121,140,0.4,0.6,0.9,0.8875,0.871428571428571,0.85,-0.88,-0.9,-0.914285714285714,-0.925,-0.933333333333333,1,-1,ALLERGIC REACTIONS,ALLERGIES,RO-cause_of
900132,"Although many foods have been described to cause an ALLERGIC REACTION, only a few are responsible for the majority of HYPERSENSITIVITY SYMPTOMS",ALLERGIC REACTION,52,69,HYPERSENSITIVITY SYMPTOMS,118,143,0.8485281374,0.8485281374,0.974754689566667,0.9715990257625,0.967541743728571,0.96213203435,0.95455844122,0.943198051525,0.9242640687,0.88639610305,-0.858578643766667,1,1,ALLERGIC REACTION,HYPERSENSITIVITY SYMPTOMS,RO-cause_of
900136,"Diabetic ketoacidosis: diagnosis, DIABETIC KETOACIDOSIS treatment, HYPERGLYCEMIC HYPEROSMOLAR NONKETOTIC COMA and maintenance treatment after hyperglycemic crisis.",HYPERGLYCEMIC HYPEROSMOLAR NONKETOTIC COMA,67,108,DIABETIC KETOACIDOSIS,34,55,0.1348399725,0.9438798074,0.855806662083333,-0.898870020625,-0.93258001375,-0.9494350103125,-0.95954800825,-0.966290006875,-0.971105720178571,-0.97471750515625,-0.97752667125,1,-1,HYPEROSMOLAR NONKETOTIC COMA,DIABETIC KETOACIDOSIS,RO-cause_of
900137,"Both DIABETIC KETOACIDOSIS (DKA) and hyperglycemic, HYPEROSMOLAR NONKETOTIC COMA (HHNC) are stressful metabolic occurrences brought about by the orchestration of numerous events.",HYPEROSMOLAR NONKETOTIC COMA,52,79,DIABETIC KETOACIDOSIS,5,26,0.377964473,0.8819171037,0.896327412166667,0.8833683386875,0.866706672785714,-0.858263322625,-0.8866106581,-0.90550888175,-0.919007612928571,-0.9291316613125,-0.937005921166667,1,-1,HYPEROSMOLAR NONKETOTIC COMA,DIABETIC KETOACIDOSIS,RO-cause_of
900138,"However, the children who were exposed to a dog at home during early childhood developed DOG HYPERSENSITIVITY SYMPTOMS significantly earlier and had DOG HYPERSENSITIVITY slightly more often than the subjects with a later exposure or no exposure to dog.",DOG HYPERSENSITIVITY SYMPTOMS,89,117,DOG HYPERSENSITIVITY,89,109,0.9647638212,0.9647638212,0.994127303533333,0.993393216475,0.992449390257143,0.9911909553,0.98942914636,0.98678643295,0.9823819106,0.9735728659,0.9471457318,1,1,HYPERSENSITIVITY SYMPTOMS,HYPERSENSITIVITY,RO-cause_of
900139,We previously reported that allergic rhinitis was an aggravating factor for GRAVES' DISEASE and that THYROTOXICOSIS relapsed 2 months after an allergic attack.,THYROTOXICOSIS,101,115,GRAVES' DISEASE,76,90,0.6575959492,0.6575959492,0.9429326582,0.935799240475,0.9266277034,0.9143989873,0.89727878476,0.87159848095,-0.859086582314286,-0.876700759525,-0.890400675133333,1,-1,GRAVES' DISEASE,THYROTOXICOSIS,RO-cause_of
900149,"This entailed further analysis of their birth history, FAMILY ATOPIC HISTORY specific allergic diseases (ALLERGIC RHINITIS atopic dermatitis, asthma), hernia type (direct or indirect), the onset of chronic cough and asthma.",ALLERGIC RHINITIS,105,121,FAMILY ATOPIC HISTORY,55,76,0.1601281538,0.6405126152,0.860021358966667,-0.87990388465,-0.9199359231,-0.939951942325,-0.95196155386,-0.95996796155,-0.965686824185714,-0.9699759711625,-0.973311974366667,1,-1,ALLERGIC RHINITIS,ATOPIC,RO-cause_of
900150,"To the best of our knowledge, this is the first reported case of a TONGUE BASE HAMARTOMA in a patient with TUBEROUS SCLEROSIS",TONGUE BASE HAMARTOMA,67,88,TUBEROUS SCLEROSIS,107,124,0.6741998625,0.6741998625,0.945699977083333,0.93891247421875,0.930185684821429,0.918549965625,0.90225995875,0.8778249484375,-0.855528600892857,-0.87358752578125,-0.88763335625,1,-1,TUBEROUS SCLEROSIS,HAMARTOMA,RO-cause_of
900151,"The authors revealed that long-term compensation of diabetes, the duration of DIABETES and the biological age of the diabetics were statistically significant for the manifestation of DIABETIC NEUROPATHY",DIABETIC NEUROPATHY,183,202,DIABETES,78,86,1,1,1,1,1,1,1,1,1,1,1,1,1,DIABETIC NEUROPATHY,DIABETES,RO-cause_of
900154,These results showed that STA 1 could effectively suppress the Der p 5 induced ALLERGIC REACTIONS and the availability of STA 1 for the treatment of ALLERGIC ASTHMA was demonstrated in this study.,ALLERGIC ASTHMA,149,163,ALLERGIC REACTIONS,79,97,0.583459966,0.583459966,0.930576661,0.921898743625,0.910741421285714,0.8958649915,0.8750379898,-0.8541350085,-0.874972864428571,-0.890601256375,-0.902756672333333,1,-1,ALLERGIC ASTHMA,ALLERGIC REACTIONS,RO-cause_of
900157,"The physician should ask about a history of DIABETES of long duration, including other manifestations of DIABETIC NEUROPATHY",DIABETIC NEUROPATHY,105,123,DIABETES,44,52,0.9773555549,0.9773555549,0.996225925816667,0.99575416654375,0.995147618907143,0.994338888725,0.99320666647,0.9915083330875,0.98867777745,0.983016666175,0.96603333235,1,1,DIABETIC NEUROPATHY,DIABETES,RO-cause_of
900160,"Unfortunately the nutritional adequacy of the postoperative diet has frequently been overlooked, and in the months to years that follow, NUTRITIONAL DEFICIENCIES have become apparent, including PROTEIN CALORIE MALNUTRITION and various vitamin and mineral deficiencies contributing to medical illnesses and limiting optimal health.",PROTEIN CALORIE MALNUTRITION,194,221,NUTRITIONAL DEFICIENCIES,137,161,0.7537783614,0.7537783614,0.958963060233333,0.9538334427625,0.9472382203,0.93844459035,0.92613350842,0.907666885525,0.8768891807,-0.8586665572375,-0.8743702731,1,1,CALORIE MALNUTRITION,NUTRITIONAL DEFICIENCIES,RO-cause_of
900163,"Allergic eye diseases are characterized by IgE mast cell mediated, as seen in allergic conjunctivitis; chronic mast cell activation and eosinophil/T lymphocyte mediated response, as seen in giant papillary conjunctivitis, VERNAL KERATOCONJUNCTIVITIS and atopic keratoconjunctivitis; or a T lymphocyte mediated response in contact ocular ALLERGY",VERNAL KERATOCONJUNCTIVITIS,222,248,ALLERGY,337,344,0.8427009716,0.8427009716,0.973783495266667,0.970506432175,0.966293065342857,0.9606752429,0.95281029148,0.94101286435,0.9213504858,0.8820257287,-0.859549838066667,1,1,VERNAL KERATOCONJUNCTIVITIS,ALLERGY,RO-cause_of
900166,"One suggestion for why some people develop ATOPIC DISEASES such as allergic rhinitis, asthma and ATOPIC ECZEMA is that there are alterations in their intestinal microflora not seen in those without such conditions.",ATOPIC ECZEMA,97,109,ATOPIC DISEASES,43,58,0.0990147543,0.8911327887,-0.85147786855,-0.925738934275,-0.95049262285,-0.9628694671375,-0.97029557371,-0.975246311425,-0.97878255265,-0.98143473356875,-0.98349754095,1,-1,ATOPIC ECZEMA,ATOPIC,RO-cause_of
900167,Selective food intake induced MICRONUTRIENT DEFICITS (moderate undernutrition) and can later lead to PROTEIN CALORIE MALNUTRITION (PCM.,PROTEIN CALORIE MALNUTRITION,101,128,MICRONUTRIENT DEFICITS,30,52,0.990147543,0.990147543,0.998357923833333,0.9981526643125,0.997888759214286,0.99753688575,0.9970442629,0.996305328625,0.9950737715,0.99261065725,0.9852213145,1,1,PROTEIN CALORIE MALNUTRITION,DEFICITS,RO-cause_of
900168,"Eleven renal biopsy specimens from patients with LUPUS MEMBRANOUS GLOMERULOPATHY (LMGN) and 16 from patients with primary (NONLUPUS MEMBRANOUS GLOMERULOPATHY (NLMGN) for whom light, electron microscopy and immunofluorescence microscopy, and full clinical data were available were examined quantitatively.",NONLUPUS MEMBRANOUS GLOMERULOPATHY,123,156,LUPUS MEMBRANOUS GLOMERULOPATHY,49,80,0.1203858531,0.8427009716,0.853397642183333,-0.909710610175,-0.93980707345,-0.9548553050875,-0.96388424407,-0.969903536725,-0.974203031478571,-0.97742765254375,-0.97993569115,1,-1,NONLUPUS,LUPUS,RO-cause_of
900172,"In contrast to ALLERGIC CONTACT DERMATITIS however, drug induced HYPERSENSITIVITY REACTIONS of the skin have enormous variability with regard to their pathophysiological pathways, clinical signs of symptoms, severity, and the drugs which can elicit these reactions.",ALLERGIC CONTACT DERMATITIS,15,42,HYPERSENSITIVITY REACTIONS,65,91,0,0.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,ALLERGIC CONTACT DERMATITIS,HYPERSENSITIVITY REACTIONS,RO-cause_of
900174,"As compared to normal persons, the content of serum IgE in the patients was significantly increased; the content of IgE in tuberculosis patients appeared as high as that in patients suffering from ATOPIC ALLERGY (POLLENOSIS, bronchial asthma",POLLENOSIS,213,223,ATOPIC ALLERGY,197,211,0.1924500897,0.7698003589,0.865408348283333,-0.855662432725,-0.90377495515,-0.9278312163625,-0.94226497309,-0.951887477575,-0.958760695064286,-0.96391560818125,-0.96792498505,1,-1,POLLENOSIS,ATOPIC ALLERGY,RO-cause_of
900177,Sensitization to allergens of Japanese cedar pollen is known to cause canine ATOPIC DERMATITIS as approximately 10% of ATOPIC dogs in Japan were positive to the pollen allergen.,ATOPIC DERMATITIS,77,94,ATOPIC,77,83,0.6255432422,0.6255432422,0.937590540366667,0.9297893579125,0.919759266185714,0.90638581055,0.88766297266,0.859578715825,-0.865955019528571,-0.8827106420875,-0.895742792966667,1,1,ATOPIC DERMATITIS,ATOPIC,RO-cause_of
900178,"Physiological role and occurrence of iodine in the organism was reviewed, moreover, ALLERGIC REACTIONS caused by iodine containing chemicals (IODINE AND TROPOMYOSINE ALLERGY",ALLERGIC REACTIONS,84,102,(IODINE AND TROPOMYOSINE ALLERGY,141,173,0.9958932065,0.9958932065,0.999315534416667,0.99922997621875,0.999119972821429,0.998973301625,0.99876796195,0.9984599524375,0.99794660325,0.996919904875,0.99383980975,1,1,ALLERGY,ALLERGIC REACTIONS,RO-cause_of
900179,ATOPIC DERMATITIS the dermatologic manifestation of the ATOPIC DIATHESIS has a variety of clinical presentations.,ATOPIC DERMATITIS,0,16,ATOPIC DIATHESIS,56,72,0.9931270663,0.9931270663,0.99885451105,0.99871132493125,0.998527228492857,0.998281766575,0.99793811989,0.9974226498625,0.99656353315,0.994845299725,0.98969059945,1,-1,ATOPIC DERMATITIS,ATOPIC DIATHESIS,RO-cause_of
900181,It has been approved for treatment of the ANEMIA OF CHRONIC RENAL FAILURE both in progressive renal failure and ENDSTAGE RENAL FAILURE (ESRD.,ENDSTAGE RENAL FAILURE (ESRD,112,140,ANEMIA OF CHRONIC RENAL FAILURE,42,72,0.4522670169,0.7537783614,0.908711169483333,0.89730006566875,0.882628646478571,0.863066754225,-0.86431989493,-0.886933245775,-0.903085639235714,-0.91519993433125,-0.92462216385,1,1,ANEMIA OF CHRONIC RENAL FAILURE,RENAL FAILURE,RO-cause_of
