Sent_id,relation,sentence_relation_score,crowd,baseline,expert,test_partition,term1,b1,e1,term2,b2,e2,sentence,term1_UMLS,term2_UMLS,UMLS_seed_relation
100542,treat,0,-1,-1,NA,NA,TRICHOMONIASIS,0,14,TRICHOMONAS VAGINALIS,39,60,"TRICHOMONIASIS, an infection caused by TRICHOMONAS VAGINALIS.",TRICHOMONIASIS,TRICHOMONAS VAGINALIS,disease has finding
100613,treat,0,-1,-1,NA,NA,BENZODIAZEPINE DEPENDENCE,45,70,DEMENTIA,99,107,"The long-term effects of benzodiazepines and BENZODIAZEPINE DEPENDENCE in the elderly can resemble DEMENTIA, depression or anxiety syndromes and progressively worsens over time.",BENZODIAZEPINE DEPENDENCE,DEMENTIA,disease has finding
100632,treat,0.1348399725,-0.8651600275,-1,NA,NA,INCUBATION PERIODS,104,122,KURU PATIENTS,54,67,These researchers noticed a genetic variation in some KURU PATIENTS that has been known to promote long INCUBATION PERIODS.,INCUBATION PERIOD,KURU,disease has finding
100747,treat,0.10976426,-0.89023574,-1,NA,NA,INHALATION ANTHRAX,142,160,PYELONEPHRITIS,108,122,As such the pediatric use of ciprofloxacin is restricted to proven complicated urinary tract infections and PYELONEPHRITIS due to E. coli and INHALATION ANTHRAX.,INHALATION ANTHRAX,PYELONEPHRITIS,disease has finding
100749,treat,0,-1,-1,NA,NA,PYELONEPHRITIS,41,55,ESCHERICHIA COLI,63,79,Complicated urinary tract infections and PYELONEPHRITIS due to ESCHERICHIA COLI.,PYELONEPHRITIS,ESCHERICHIA COLI,disease has finding
100845,treat,0,-1,-1,NA,NA,HIV,87,90,CHLAMYDIA,20,29,"Women infected with CHLAMYDIA are up to five times more likely to become infected with HIV, if exposed.",HIV,CHLAMYDIA,disease has finding
100859,treat,0,-1,-1,NA,NA,ITCHING,50,57,VAGINA,17,23,"Infection of the VAGINA or vulva may cause severe ITCHING burning, soreness, irritation, and a whitish or whitish gray cottage cheese like discharge, often with a curd like appearance.",ITCHING,VAGINA,disease has finding
100892,treat,0,-1,-1,NA,NA,BLUE LIGHT,50,60,PROTANOPE,89,106,"E.g., pink flowers, reflecting both red light and BLUE LIGHT may appear just blue to the PROTANOPE",BLUE LIGHT,PROTANOPE,disease has finding
100926,treat,0,-1,-1,NA,NA,EPIDEMIC,4,12,CHOLERA,16,23,"The EPIDEMIC of CHOLERA that spread with the Austro Prussian War is estimated to have claimed 165,000 lives in the Austrian Empire.",EPIDEMIC,CHOLERA,disease has finding
101050,treat,0.2948839123,-0.7051160877,-1,NA,NA,HYPERCALCEMIA,80,93,HYPOCALCEMIA,51,63,"The sparing effect on calcium can be beneficial in HYPOCALCEMIA, or unwanted in HYPERCALCEMIA.",HYPERCALCEMIA,HYPOCALCEMIA,disease has finding
101053,treat,0,-1,-1,NA,NA,EATING DISORDER,43,58,WEIGHT LOSS,97,108,"Diuretics are often abused by sufferers of EATING DISORDERs, especially bulimics, in attempts at WEIGHT LOSS.",EATING DISORDER,WEIGHT LOSS,disease has finding
101078,treat,0,-1,-1,NA,NA,DYSARTHRIA,32,42,EXPRESSIVE APHASIA,0,18,"EXPRESSIVE APHASIA differs from DYSARTHRIA, which is characterized by a patient's inability to properly move the muscles of the tongue and mouth to produce speech.",DYSARTHRIA,EXPRESSIVE APHASIA,disease has finding
101090,treat,0.0816496581,-0.9183503419,-1,NA,NA,CEREBRAL HEMORRHAGE,69,88,EXPRESSIVE APHASIA,0,18,"EXPRESSIVE APHASIA can also be caused by trauma to the brain, tumor, CEREBRAL HEMORRHAGE by extradural hematoma.cite journal author=.",CEREBRAL HEMORRHAGE,EXPRESSIVE APHASIA,disease has finding
101130,treat,0,-1,-1,NA,NA,ABSENCE SEIZURES,30,46,UNRESPONSIVE STARING,65,85,These patients have recurrent ABSENCE SEIZURES brief episodes of UNRESPONSIVE STARING sometimes with minor motor features such as eye blinking or subtle chewing.,ABSENCE SEIZURE,STARING,disease has finding
101136,treat,0,-1,-1,NA,NA,CAE,86,89,JUVENILE ABSENCE EPILEPSY,0,25,"JUVENILE ABSENCE EPILEPSY is an idiopathic generalized epilepsy with later onset that CAE typically in prepubertal adolescence, with the most frequent seizure type being absence seizures.",CAE,JUVENILE ABSENCE EPILEPSY,disease has finding
101148,treat,0,-1,-1,NA,NA,COMPLEX PARTIAL SEIZURES,45,69,EPILEPSIA PARTIALIS CONTINUATA,90,120,Seizures start as separate simple partial or COMPLEX PARTIAL SEIZURES and may progress to EPILEPSIA PARTIALIS CONTINUATA .,COMPLEX PARTIAL SEIZURE,EPILEPSIA,disease has finding
101212,treat,0,-1,-1,NA,NA,HYPOTONIA,103,112,LATE PREGNANCY,50,64,"Use of benzodiazepines including flunitrazepam in LATE PREGNANCY, especially high doses, may result in HYPOTONIA, also known as floppy infant syndrome.",HYPOTONIA,LATE PREGNANCY,disease has finding
101254,treat,0,-1,-1,NA,NA,HIGH FASTING BLOOD SUGAR LEVEL,2,32,PREDIABETIC AND DIABETIC CONDITIONS,53,88,A HIGH FASTING BLOOD SUGAR LEVEL is an indication of PREDIABETIC AND DIABETIC CONDITIONS.,FASTING BLOOD SUGAR,PREDIABETIC,disease has finding
101256,treat,0.1154700538,-0.8845299462,-1,NA,NA,ALCOHOLISM,102,112,NARCOLEPSY,75,85,The only common medical applications for GHB today are in the treatment of NARCOLEPSY and more rarely ALCOHOLISM.,ALCOHOLISM,NARCOLEPSY,disease has finding
101264,treat,0,-1,-1,NA,NA,INSOMNIA,59,67,WITHDRAWAL SYNDROME,36,55,"GHB has also been associated with a WITHDRAWAL SYNDROME of INSOMNIA, anxiety, and tremor that usually resolves within three to twelve days.",INSOMNIA,WITHDRAWAL SYNDROME,disease has finding
101272,treat,0,-1,-1,NA,NA,HEPATOMEGALY,76,88,METABOLIC DISEASE,20,37,A few syndromes and METABOLIC DISEASEs may be recognizable by clues such as HEPATOMEGALY or micropenis.,HEPATOMEGALY,METABOLIC DISEASE,disease has finding
101356,treat,0,-1,-1,NA,NA,LEFT SIDED PNEUMOTHORAX,21,44,ASSOCIATED LEFT SIDED HEMOTHORAX,49,81,Chest x ray showed a LEFT SIDED PNEUMOTHORAX and ASSOCIATED LEFT SIDED HEMOTHORAX .,PNEUMOTHORAX,HEMOTHORAX,disease has finding
101369,treat,0,-1,-1,NA,NA,LATERAL CERVICAL SPINE FRACTURE,11,42,POSTERIOR DISLOCATION OF C5 ON C6,79,112,Drawing of LATERAL CERVICAL SPINE FRACTURE showing a wedge fracture of C6 with POSTERIOR DISLOCATION OF C5 ON C6.,FRACTURE,POSTERIOR DISLOCATION,disease has finding
101386,treat,0,-1,-1,NA,NA,BLEEDING INTO A CAVERNOUS,7,32,SINUS WITHIN THE SPINAL CORD,33,69,MRI of BLEEDING INTO A CAVERNOUS SINUS WITHIN THE SPINAL CORD,BLEEDING,SPINAL CORD,disease has finding
101395,treat,0,-1,-1,NA,NA,ATAXIA,35,41,GERMINOMA CELLS,56,71,Some participants thought that his ATAXIA was caused by GERMINOMA CELLS involving the medulla and the inferior cerebellar peduncles.,ATAXIA,GERMINOMA,disease has finding
101428,treat,0,-1,-1,NA,NA,NEUROLOGIC COMPLICATION,54,77,SLE,81,84,"Since intramedullary tuberculosis may sometimes mimic NEUROLOGIC COMPLICATION of SLE itself, it may pose diagnostic and therapeutic confusion for clinicians.",NEUROLOGIC COMPLICATION,SLE,disease has finding
101451,treat,0,-1,-1,NA,NA,SWELLING,61,69,INTERNAL BLEEDING,5,22,"Deep INTERNAL BLEEDING e.g. deep muscle bleeding, leading to SWELLING numbness or pain of a limb.",SWELLING,BLEEDING,disease has finding
101462,treat,0,-1,-1,NA,NA,SOFT TISSUE HAEMORRHAGE,125,148,CIRRHOSIS,70,79,"Two other major causes of death include: hepatitis infections causing CIRRHOSIS and, obstruction of air or blood flow due to SOFT TISSUE HAEMORRHAGE.",SOFT TISSUE HAEMORRHAGE,CIRRHOSIS,disease has finding
101464,treat,0,-1,-1,NA,NA,MENORRHAGIA,29,40,BLEEDING TENDENCY,52,69,Adult females may experience MENORRHAGIA due to the BLEEDING TENDENCY.,MENORRHAGIA,BLEEDING TENDENCY,disease has finding
101478,treat,0,-1,-1,NA,NA,SEMEN,52,57,HIV,15,18,"Infection with HIV occurs by the transfer of blood, SEMEN, vaginal fluid, pre-ejaculate, or breast milk.",SEMEN,HIV,disease has finding
101511,treat,0,-1,-1,NA,NA,OPEN WOUND,58,68,HIV,69,72,"In general, if infected blood comes into contact with any OPEN WOUND HIV may be transmitted.",OPEN WOUND,HIV,disease has finding
101571,treat,0,-1,-1,NA,NA,ANOVULATION,97,108,POLYCYSTIC OVARY SYNDROME,0,25,POLYCYSTIC OVARY SYNDROME - a complex syndrome in women in the reproductive years where there is ANOVULATION and androgen excess commonly displayed as hirsutism.,ANOVULATION,POLYCYSTIC OVARY SYNDROME,disease has finding
101582,treat,0.596284794,0.596284794,-1,NA,NA,MUCOUS MEMBRANE,44,59,INFLAMMATORY RESPONSE,79,100,"Mast cells reside in connective tissues and MUCOUS MEMBRANEs, and regulate the INFLAMMATORY RESPONSE.",MUCOUS MEMBRANE,INFLAMMATORY RESPONSE,disease has finding
101592,treat,0,-1,-1,NA,NA,OVERNUTRITION,0,13,DIABETES,55,63,"OVERNUTRITION is also associated with diseases such as DIABETES and obesity, which are known to affect immune function.",OVERNUTRITION,DIABETES,disease has finding
101627,treat,0,-1,-1,NA,NA,ULCER,122,127,ENDOMETRIOSIS,16,29,"The presence of ENDOMETRIOSIS has a stronger association with typical IC findings on cystoscopy including glomerulations, ULCERs, and reduced bladder capacity.",ULCER,ENDOMETRIOSIS,disease has finding
101664,treat,0,-1,-1,NA,NA,ELEVATED CREATINE KINASE CK LEVELS,0,34,NORMAL CK LEVELS,90,106,ELEVATED CREATINE KINASE CK LEVELS are typical in sIBM but patients can also present with NORMAL CK LEVELS.,ELEVATED CREATINE KINASE,NORMAL CK,disease has finding
101673,treat,0.1054092553,-0.8945907447,-1,NA,NA,REFLEX SYMPATHETIC DYSTROPHY,119,147,COMPLEX REGIONAL PAIN SYNDROME,74,104,Ketamine is being used as an experimental and controversial treatment for COMPLEX REGIONAL PAIN SYNDROME also known as REFLEX SYMPATHETIC DYSTROPHY .,REFLEX SYMPATHETIC DYSTROPHY,COMPLEX REGIONAL PAIN SYNDROME,disease has finding
101700,treat,0,-1,-1,NA,NA,MARASMUS,132,140,KWASHIORKOR,0,11,"KWASHIORKOR was thought to be caused by insufficient protein consumption but with sufficient calorie intake, distinguishing it from MARASMUS.",MARASMUS,KWASHIORKOR,disease has finding
101707,treat,0,-1,-1,NA,NA,AFLATOXIN POISONING,58,77,KWASHIORKOR,43,54,One important factor in the development of KWASHIORKOR is AFLATOXIN POISONING.,AFLATOXIN POISONING,KWASHIORKOR,disease has finding
101739,treat,0,-1,-1,NA,NA,TUMOR,28,33,SQUAMOUS CELL CARCINOMA,86,109,The latter subtype includes TUMORs containing at least 10% each of adenocarcinoma and SQUAMOUS CELL CARCINOMA.,TUMOR,SQUAMOUS CELL CARCINOMA,disease has finding
101764,treat,0,-1,-1,NA,NA,PNEUMONIA,56,65,SARCOIDOSIS,102,113,"These include infectious causes such as tuberculosis or PNEUMONIA, or inflammatory conditions such as SARCOIDOSIS.",PNEUMONIA,SARCOIDOSIS,disease has finding
101814,treat,0,-1,-1,NA,NA,HEAD AND NECK LYMPHEDEMA,0,24,THROAT CANCER,85,106,HEAD AND NECK LYMPHEDEMA can be caused by surgery or radiation therapy for tongue or THROAT CANCER,LYMPHEDEMA,THROAT CANCER,disease has finding
101817,treat,0,-1,-1,NA,NA,SECONDARY LYMPHEDEMA,82,102,TESTICULAR CANCERS,49,67,"Surgery and/or treatment for prostate, colon and TESTICULAR CANCERS may result in SECONDARY LYMPHEDEMA particularly when lymph nodes have been removed or damaged.",SECONDARY LYMPHEDEMA,TESTICULAR CANCER,disease has finding
101853,treat,0,-1,-1,NA,NA,SENSORINEURAL DEAFNESS,77,99,RESPIRATORY FAILURE,158,177,"The neurological manifestations develop insidiously: they usually begin with SENSORINEURAL DEAFNESS, progress inexorably to paralysis, and often culminate in RESPIRATORY FAILURE.",SENSORINEURAL DEAFNESS,RESPIRATORY FAILURE,disease has finding
101867,treat,0,-1,-1,NA,NA,SEVERE EXACERBATION,104,131,CO EXISTING THYROID DISEASE,25,52,Of particular mention is CO EXISTING THYROID DISEASE where episodes of hypothyroidism may precipitate a SEVERE EXACERBATION,EXACERBATION,THYROID DISEASE,disease has finding
101899,treat,0,-1,-1,NA,NA,MYOPATHY,85,93,MITOCHONDRIAL DISORDER,0,22,"MITOCHONDRIAL DISORDERs often present as neurological disorders, but can manifest as MYOPATHY, diabetes, multiple endocrinopathy, or a variety of other systemic manifestations.",MYOPATHY,MITOCHONDRIAL DISORDER,disease has finding
101926,treat,0,-1,-1,NA,NA,IMPAIRMENT,53,63,HYPOMANIA,0,9,"HYPOMANIA is different, as it may cause little or no IMPAIRMENT in function.",IMPAIRMENT,HYPOMANIA,disease has finding
102018,treat,0,-1,-1,NA,NA,MANIC DEPRESSIVE INSANITY,93,118,MALIGNANT PROGRESSIVE DEMENTIA PRAECOX,151,189,"Emil Kraepelin, the German psychopathologist, described an alternating mood disorder labeled MANIC DEPRESSIVE INSANITY which he contrasted with a more MALIGNANT PROGRESSIVE DEMENTIA PRAECOX.",INSANITY,PROGRESSIVE DEMENTIA,disease has finding
102090,treat,0,-1,-1,NA,NA,MIGRAINE,23,31,BRAIN DYSFUNCTION,64,81,The vascular theory of MIGRAINEs is now considered secondary to BRAIN DYSFUNCTION and claimed to have been discredited by others.,MIGRAINE,BRAIN DYSFUNCTION,disease has finding
102097,treat,0,-1,-1,NA,NA,BRAIN DYSFUNCTION,61,86,VASCULAR THEORY OF MIGRAINES,4,32,The VASCULAR THEORY OF MIGRAINES is now seen as secondary to BRAIN DYSFUNCTION,BRAIN DYSFUNCTION,MIGRAINE,disease has finding
102098,treat,0,-1,-1,NA,NA,MIGRAINE,0,8,CLUSTER HEADACHE,73,89,MIGRAINE should be differentiated from other causes of headaches such as CLUSTER HEADACHEs.,MIGRAINE,CLUSTER HEADACHE,disease has finding
102130,treat,0,-1,-1,NA,NA,FATIGABILITY,88,100,NEUROMUSCULAR DISEASE,23,44,Myasthenia Gravis is a NEUROMUSCULAR DISEASE leading to fluctuating muscle weakness and FATIGABILITY.,FATIGABILITY,NEUROMUSCULAR DISEASE,disease has finding
102214,treat,0,-1,-1,NA,NA,AMYLOIDOSIS,26,37,OSTEOPOROSIS,71,83,Systemic diseases such as AMYLOIDOSIS and sarcoidosis can also lead to OSTEOPOROSIS.,AMYLOIDOSIS,OSTEOPOROSIS,disease has finding
102218,treat,0,-1,-1,NA,NA,RENAL INSUFFICIENCY,0,19,OSTEODYSTROPHY,32,54,RENAL INSUFFICIENCY can lead to OSTEODYSTROPHY,RENAL INSUFFICIENCY,OSTEODYSTROPHY,disease has finding
102227,treat,0.4803844614,-0.5196155386,-1,NA,NA,FRACTURE,130,138,OSTEOPENIA,35,45,Individuals already diagnosed with OSTEOPENIA or osteoporosis should discuss their exercise program with their physician to avoid FRACTUREs.,OSTEOPENIA,FRACTURE,disease has finding
102235,treat,0.9561828875,0.9561828875,-1,NA,NA,BONE HEALING,44,56,OSTEOPOROSIS,119,131,"Calcium is required to support bone growth, BONE HEALING and maintain bone strength and is one aspect of treatment for OSTEOPOROSIS.",BONE HEALING,OSTEOPOROSIS,disease has finding
102241,treat,0,-1,-1,NA,NA,FRACTURE,92,100,OSTEOPOROSIS,9,21,Although OSTEOPOROSIS patients have an increased mortality rate due to the complications of FRACTURE it is rarely lethal.,FRACTURE,OSTEOPOROSIS,disease has finding
102246,treat,0,-1,-1,NA,NA,OVERWEIGHT,81,91,INFERTILITY,113,124,"Fat cells also produce estrogen, potentially being the reason why underweight or OVERWEIGHT are risk factors for INFERTILITY.",OVERWEIGHT,INFERTILITY,disease has finding
102281,treat,0.1767766953,-0.8232233047,-1,NA,NA,DYSRHYTHMIA,94,105,CENTRAL NERVOUS SYSTEM,47,69,"The substance may cause harmful effects on the CENTRAL NERVOUS SYSTEM and heart, resulting in DYSRHYTHMIA seizures, and coma.",DYSRHYTHMIA,CENTRAL NERVOUS SYSTEM,disease has finding
102316,treat,0,-1,-1,NA,NA,PSYCHOSIS,0,9,MUMPS,77,82,PSYCHOSIS can even be caused by apparently innocuous ailments such as flu or MUMPS.,PSYCHOSIS,MUMPS,disease has finding
102364,treat,0,-1,-1,NA,NA,HEADACHE,60,68,SPASTIC PARALYSIS,109,126,"It is characterized by confusion, changes in mental status, HEADACHEs, fever, and less commonly seizures and SPASTIC PARALYSIS.",HEADACHE,SPASTIC PARALYSIS,disease has finding
102381,treat,0,-1,-1,NA,NA,SUFFOCATION,96,107,POLIOMYELITIS,45,58,"Without respiratory support, consequences of POLIOMYELITIS with respiratory involvement include SUFFOCATION or pneumonia from aspiration of secretions.",SUFFOCATION,POLIOMYELITIS,disease has finding
102445,treat,0,-1,-1,NA,NA,VASCULITIS,17,27,RHEUMATOID ARTHRITIS,37,57,Several forms of VASCULITIS occur in RHEUMATOID ARTHRITIS.,VASCULITIS,RHEUMATOID ARTHRITIS,disease has finding
102452,treat,0.2132007164,-0.7867992836,-1,NA,NA,EPISCLERITIS,52,64,PERFORATING SCLEROMALACIA,111,144,Ocular: The eye is directly affected in the form of EPISCLERITIS which when severe can very rarely progress to PERFORATING SCLEROMALACIA,EPISCLERITIS,SCLEROMALACIA,disease has finding
102455,treat,0,-1,-1,NA,NA,LOW WHITE BLOOD CELL COUNT,2,28,FELTY'S SYNDROME,66,82,A LOW WHITE BLOOD CELL COUNT usually only occurs in patients with FELTY'S SYNDROME with an enlarged liver and spleen.,LOW WHITE BLOOD CELL COUNT,FELTY'S SYNDROME,disease has finding
102459,treat,0,-1,-1,NA,NA,CLUMSINESS,0,10,QUADRIPLEGIA,79,91,"CLUMSINESS is initially experienced, but without due care this can progress to QUADRIPLEGIA.",CLUMSINESS,QUADRIPLEGIA,disease has finding
102471,treat,0,-1,-1,NA,NA,MIGRATORY PATTERN OF JOINT INVOLVEMENT,57,95,ANTECEDENT STREPTOCOCCAL INFECTION,112,154,Acute rheumatic fever can be differentiated from RA by a MIGRATORY PATTERN OF JOINT INVOLVEMENT and evidence of ANTECEDENT STREPTOCOCCAL INFECTION,PATTERN OF JOINT INVOLVEMENT,STREPTOCOCCAL INFECTION,disease has finding
102531,treat,0.2324952775,-0.7675047225,-1,NA,NA,JOINT MOBILITY,0,14,CALCINOSIS,80,90,"JOINT MOBILITY especially of the small joints of the hand, may be restricted by CALCINOSIS or skin thickening.",JOINT MOBILITY,CALCINOSIS,disease has finding
102541,treat,0,-1,-1,NA,NA,SYSTEMIC SCLEROSIS,35,53,CHRONIC RENAL FAILURE,83,104,A distinct form of scleroderma and SYSTEMIC SCLEROSIS may develop in patients with CHRONIC RENAL FAILURE.,SYSTEMIC SCLEROSIS,CHRONIC RENAL FAILURE,disease has finding
102557,treat,0,-1,-1,NA,NA,CORTICAL EXCITABILITY,112,141,FOCAL EPILEPSY,29,43,Generalized epilepsy but not FOCAL EPILEPSY is higher in the morning probably reflecting a diurnal variation in CORTICAL EXCITABILITY,EXCITABILITY,FOCAL EPILEPSY,disease has finding
102630,treat,0,-1,-1,NA,NA,SUICIDE RATE,31,43,SCHIZOPHRENIA,60,73,There is a higher than average SUICIDE RATE associated with SCHIZOPHRENIA.,SUICIDE RATE,SCHIZOPHRENIA,disease has finding
102632,treat,0,-1,-1,NA,NA,HALLUCINATION,46,59,DELUSIONAL JEALOUSY,105,124,"Findings on the specific role of delusions or HALLUCINATIONs have been inconsistent, but have focused on DELUSIONAL JEALOUSY, perception of threat and command hallucinations.",HALLUCINATION,DELUSIONAL JEALOUSY,disease has finding
102640,treat,0,-1,-1,NA,NA,EVAPORATION,110,129,METHANOL,89,97,It is easily prepared on a clean surface by spraying a saturated solution of the salt in METHANOL followed by EVAPORATION,EVAPORATION,METHANOL,disease has finding
102693,treat,0,-1,-1,NA,NA,STROKE,0,6,OBSTRUCTIVE SLEEP APNEA,26,57,STROKE is associated with OBSTRUCTIVE SLEEP APNEA,STROKE,SLEEP APNEA,disease has finding
102716,treat,0.0755928946,-0.9244071054,-1,NA,NA,IRRITATION FROM NOSE BLOWING,25,53,SECONDARY BACTERIAL INFECTION,67,104,It is thought that nasal IRRITATION FROM NOSE BLOWING leads to the SECONDARY BACTERIAL INFECTION,BLOWING,BACTERIAL INFECTION,disease has finding
102738,treat,0,-1,-1,NA,NA,CHRONIC SINUSITIS,81,98,STAPHYLOCOCCUS AUREUS,109,130,A combination of anaerobic and aerobic bacteria are detected in conjunction with CHRONIC SINUSITIS including STAPHYLOCOCCUS AUREUS and coagulase negative Staphylococci.,CHRONIC SINUSITIS,STAPHYLOCOCCUS AUREUS,disease has finding
102745,treat,0,-1,-1,NA,NA,HEADACHE,0,8,SINUSITIS,143,152,"HEADACHE/facial pain or pressure of a dull, constant, or aching sort over the affected sinuses is common with both acute and chronic stages of SINUSITIS.",HEADACHE,SINUSITIS,disease has finding
102761,treat,0,-1,-1,NA,NA,ULCER,0,5,MUCOUS MEMBRANE,48,63,"ULCERs and other lesions begin to appear in the MUCOUS MEMBRANEs, almost always in the mouth and lips but also in the genital and anal regions.",ULCER,MUCOUS MEMBRANE,disease has finding
102811,treat,0,-1,-1,NA,NA,CELLULITIS,0,10,SWELLING,50,58,"CELLULITIS may also occur, resulting in localized SWELLING, redness and fever .",CELLULITIS,SWELLING,disease has finding
102826,treat,0,-1,-1,NA,NA,SURFACE SCRAPINGS,78,95,BURROW,17,23,"When a suspected BURROW is found, diagnosis may be confirmed by microscopy of SURFACE SCRAPINGS taken with a scalpel or curette.",SCRAPING,BURROW,disease has finding
102837,treat,0,-1,-1,NA,NA,DISEASE,94,101,LATE LATENT SYPHILIS,0,20,LATE LATENT SYPHILIS is infection for greater than two years but without clinical evidence of DISEASE.,DISEASE,LATE LATENT SYPHILIS,disease has finding
102843,treat,0.0591312396,-0.9408687604,-1,NA,NA,SPINAL CORD,66,77,SHUFFLING GAIT,112,134,"Tabes dorsalis, also known as locomotor ataxia, a disorder of the SPINAL CORD often results in a characteristic SHUFFLING GAIT",SPINAL CORD,SHUFFLING GAIT,disease has finding
102857,treat,0,-1,-1,NA,NA,INFECTIOUS ARTERITIS,35,55,ISCHEMIC STROKE,69,84,"However, it can also present as an INFECTIOUS ARTERITIS and cause an ISCHEMIC STROKE, an outcome more commonly seen in younger patients.",INFECTIOUS ARTERITIS,ISCHEMIC STROKE,disease has finding
102861,treat,0,-1,-1,NA,NA,SECONDARY LESION,40,56,TREPONEMAL DISEASE,99,117,Microscopy of fluid from the primary or SECONDARY LESION using darkfield illumination can diagnose TREPONEMAL DISEASE with high accuracy.,SECONDARY LESION,TREPONEMAL DISEASE,disease has finding
102890,treat,0,-1,-1,NA,NA,GLIOSIS,117,124,SPINAL CORD,4,15,"The SPINAL CORD is most often affected in such cases, but the optic nerves may show demyelination, loss of axons and GLIOSIS.",GLIOSIS,SPINAL CORD,disease has finding
102899,treat,0.0830454799,-0.9169545201,-1,NA,NA,GBS,18,21,PNEUMONIA,30,39,"S. agalactiae, or GBS, causes PNEUMONIA and meningitis in neonates and the elderly, with occasional systemic bacteremia.",GBS,PNEUMONIA,disease has finding
102923,treat,0,-1,-1,NA,NA,RHABDOMYOLYSIS,143,165,HYPERKALEMIA,114,126,Succinylcholine is not recommended for muscular paralysis as it may increase the risk of cardiac dysrhythmia from HYPERKALEMIA associated with RHABDOMYOLYSIS,RHABDOMYOLYSIS,HYPERKALEMIA,disease has finding
102930,treat,0,-1,-1,NA,NA,SCOLIOSIS,0,9,SYRINGOMYELIA,33,46,SCOLIOSIS is sometimes caused by SYRINGOMYELIA.,SCOLIOSIS,SYRINGOMYELIA,disease has finding
