Sent_id,sentence,term1,b1,e1,term2,b2,e2,senrel_score,crowd,baseline,single,expert,distant supervision term1,distant supervision term2,UMLS seed relation
900033,It is accepted that ALLERGY is not the sole cause of asthma but nonetheless HYPERSENSITIVITY TO ENVIRONMENTAL ALLERGENS is a significant triggering factor in most countries of the world.,HYPERSENSITIVITY TO ENVIRONMENTAL ALLERGENS,76,118,ALLERGY,20,27,0.91914503,0.975743509,1,1,-1,HYPERSENSITIVITY,ALLERGY,RO-cause_of
900035,Lactated Ringer's solution has been used for decades in the resuscitation of HYPOVOLEMIA and HEMORRHAGIC SHOCK,HEMORRHAGIC SHOCK,93,110,HYPOVOLEMIA,77,88,0.1386750491,-0.9583974853,1,-1,-1,HEMORRHAGIC SHOCK,HYPOVOLEMIA,RO-cause_of
900039,Direct immunofluorescence of the affected skin provided supportive evidence of cutaneous lupus in 60% of MALAR LUPUS RASHES and approximately 50% of subacute cutaneous and DISCOID LUPUS rashes.,DISCOID LUPUS,172,184,MALAR LUPUS RASHES,105,123,0.246182982,-0.9261451054,1,-1,-1,DISCOID LUPUS,LUPUS,RO-cause_of
900040,A combination of various kinds of ALLERGIC REACTIONS of both the specific immediate type and of the local reaction of HYPERSENSITIVITY of the slow type plays its role in the development of acute appendicitis.,HYPERSENSITIVITY,118,134,ALLERGIC REACTIONS,34,52,0.6099942813,0.8829982844,1,-1,-1,HYPERSENSITIVITY,ALLERGIC REACTIONS,RO-cause_of
900043,"ATOPIC RESPIRATORY DISEASES such as ALLERGIC RHINITIS and asthma represent the effects of an immunological response to allergens, mediated through immunoglobulins E. Development of a clinically significant atopic reaction depends on environmental exposure.",ALLERGIC RHINITIS,36,53,ATOPIC RESPIRATORY DISEASES,0,27,0,-1,1,-1,-1,ALLERGIC RHINITIS,ATOPIC,RO-cause_of
900046,"Diabetic neuropathy is common in patients with DIABETES MELLITUS, and 7.5% of diabetics experience pain from DIABETIC NEUROPATHY",DIABETIC NEUROPATHY,109,128,DIABETES MELLITUS,47,64,0.9091372901,0.972741187,1,1,1,DIABETIC NEUROPATHY,DIABETES MELLITUS,RO-cause_of
900052,"The prevalences of current asthma, cumulative asthma and asthma like symptoms were found in 1.2, 1.0 and 25.0%, respectively, of the 20 44 years age group and the prevalences of ALLERGIC RHINITIS allergic dermatitis and FAMILY ATOPY were found in 14.5, 10.9, and 15.2%, respectively, in all age group.",ALLERGIC RHINITIS,178,194,FAMILY ATOPY,220,232,0.0949157996,-0.9715252601,1,-1,-1,ALLERGIC RHINITIS,ATOPY,RO-cause_of
900053,"Evidence: ? A retrospective study showed that the nature of the COLONIC ISCHEMIA (i.e., SPONTANEOUS ISCHEMIC COLITIS versus ischemia related to shock from other disease) is predictive of mortality.",SPONTANEOUS ISCHEMIC COLITIS,88,115,COLONIC ISCHEMIA,64,80,0.3049971407,-0.9085008578,1,-1,-1,ISCHEMIC COLITIS,ISCHEMIA,RO-cause_of
900054,"PCT and other calcitonin precursors in serum are present at less than 50 pg/ml in healthy individuals, but are highly elevated in serum where conditions leading to SYSTEMIC INFLAMMATORY RESPONSE SYNDROME or SEPSIS prevail",SYSTEMIC INFLAMMATORY RESPONSE SYNDROME,164,203,SEPSIS,207,213,0,-1,1,-1,-1,SYSTEMIC INFLAMMATORY RESPONSE SYNDROME,SEPSIS,RO-cause_of
900055,"Infectious causes of conjunctivitis should always be investigated, but ALLERGIES and HYPERSENSITIVITY also should be considered if the history is appropriate",ALLERGIES,71,80,HYPERSENSITIVITY,85,101,0.4,-0.88,1,1,-1,ALLERGIES,HYPERSENSITIVITY,RO-cause_of
900064,"Hypersensitivity Reactions  Possible anaphylactic or allergic reactions; CUTANEOUS ALLERGIC REACTIONS and serious ALLERGIC VASCULITIS often with purpura of extremities and extracutaneous involvement (e.g., renal.",ALLERGIC VASCULITIS,114,132,CUTANEOUS ALLERGIC REACTIONS,73,101,0.2847473987,-0.9145757804,1,-1,-1,ALLERGIC VASCULITIS,ALLERGIC REACTIONS,RO-cause_of
900071,Analysis of the mortality of children with INSULIN DEPENDENT DIABETES in Moscow in the eighties revealed a very high specific incidence of DIABETIC KETOACIDOSIS the principal cause of lethal outcomes occurring in the period of the disease manifestation in more than a half of the analyzed cases.,DIABETIC KETOACIDOSIS,139,159,INSULIN DEPENDENT DIABETES,43,69,0.7022468832,0.910674065,1,1,1,DIABETIC KETOACIDOSIS,DIABETES,RO-cause_of
900074,Rationale: ? A significant number of new cases of DIABETES MELLITUS begin as DIABETIC KETOACIDOSIS,DIABETES MELLITUS,50,67,DIABETIC KETOACIDOSIS,77,97,0.6099942813,0.8829982844,1,-1,1,DIABETIC KETOACIDOSIS,DIABETES MELLITUS,RO-cause_of
900076,The prerequisite condition includes: (1) diagnosed as DIABETES and (2) other neuropathies than DIABETIC NEUROPATHY can be excluded.,DIABETIC NEUROPATHY,95,113,DIABETES,54,62,0.254000254,-0.9237999238,1,-1,-1,DIABETIC NEUROPATHY,DIABETES,RO-cause_of
900077,"Incidence and relative risk of ATOPIC DISEASE (atopic dermatitis; AD, bronchial asthma; BA, ALLERGIC RHINITIS AR) in Japanese infants and children in relation to their nutrition in infancy was analyzed from the data of the epidemiological survey which was conducted for 10,000 mothers of infants and children in 1993.",ATOPIC DISEASE,31,45,ALLERGIC RHINITIS AR,92,111,0.4364357805,-0.8690692659,1,-1,-1,ALLERGIC RHINITIS,ATOPIC,RO-cause_of
900083,These data support the hypothesis concerning a pathogenetic role of IFN in the development of ALLERGY of the immediate type HYPERSENSITIVITY,ALLERGY,94,100,HYPERSENSITIVITY,124,140,0.8980265101,0.969407953,1,1,-1,ALLERGY,HYPERSENSITIVITY,RO-cause_of
900088,The ocular symptoms associated with the most common OCULAR ALLERGY CONDITIONS such as seasonal and PERENNIAL ALLERGIC CONJUNCTIVITIS are twice as likely to affect the allergy sufferer rather than nasal symptoms alone.,PERENNIAL ALLERGIC CONJUNCTIVITIS,99,131,OCULAR ALLERGY CONDITIONS,52,77,0.7715167498,0.9314550249,1,1,1,PERENNIAL ALLERGIC CONJUNCTIVITIS,ALLERGY,RO-cause_of
900099,"The HYPERSENSITIVITY proved to be due to an ALLERGY to a reaction product, and the simultaneous presence of the preservatives 1,3,5 trihydroxyethylhexahydrotriazine and thymol was found to be necessary for the occurrence of a positive patch test reaction.",HYPERSENSITIVITY,4,19,ALLERGY,44,51,0.9965457582,0.9989637275,1,-1,1,HYPERSENSITIVITY,ALLERGY,RO-cause_of
900105,Thyrotoxicosis in GRAVES' DISEASE is often aggravated in early pregnancy and this aggravation is associated with postpartum relapse of THYROTOXICOSIS.,GRAVES' DISEASE,18,32,THYROTOXICOSIS,135,149,0.4472135955,-0.8658359214,1,1,-1,GRAVES' DISEASE,THYROTOXICOSIS,RO-cause_of
900111,The Basenji greyhound (BG) has been proposed as A MODEL OF ATOPIC DISEASE because of its CHRONIC RELAPSING ATOPIC DERMATITIS as well as airway hyperresponsiveness.,CHRONIC RELAPSING ATOPIC DERMATITIS,89,123,A MODEL OF ATOPIC DISEASE,48,72,0.8980265101,0.969407953,1,-1,-1,ATOPIC DERMATITIS,ATOPIC,RO-cause_of
900112,"Hyperglycemic Effects  Hyperglycemia, new onset diabetes mellitus, or exacerbation of preexisting DIABETES MELLITUS reported with use of PIs; DIABETIC KETOACIDOSIS has occurred.",DIABETIC KETOACIDOSIS,142,162,DIABETES MELLITUS,98,115,0.790569415,0.9371708245,1,1,-1,DIABETIC KETOACIDOSIS,DIABETES,RO-cause_of
900113,A patient presented with a HYPERSENSITIVITY REACTION to the aromatic anticonvulsants which evolved into STEVENS-JOHNSON SYNDROME and was complicated by the presence of adult respiratory distress syndrome,STEVENS-JOHNSON SYNDROME,104,128,HYPERSENSITIVITY REACTION,27,52,0.9258200998,0.9777460299,1,-1,-1,STEVENS-JOHNSON SYNDROME,HYPERSENSITIVITY REACTION,RO-cause_of
900115,"Both the concept of SYSTEMIC INFLAMMATORY RESPONSE SYNDROME (SIRS) and the definition of SEPSIS as the systemic response to infection, have actually been overwhelming and its generalization is contributing on the better prognosis after treatment for the patients with sepsis and also on the pioneer researches in this field, using molecular biology techniques.",SYSTEMIC INFLAMMATORY RESPONSE SYNDROME,20,58,SEPSIS,89,95,0,-1,1,-1,-1,SYSTEMIC INFLAMMATORY RESPONSE SYNDROME,SEPSIS,RO-cause_of
900119,asphyxiate    (                audio )  To cause ASPHYXIATION or ASPHYXIA,ASPHYXIATION,49,61,ASPHYXIA,65,73,0,-1,1,-1,-1,ASPHYXIATION,ASPHYXIA,RO-cause_of
900125,"In Switzerland, unlike other countries, ALLERGIC REACTIONS to ants are a rare phenomenon when compared to the well known ALLERGIES TO BEE AND wasp venom.",ALLERGIC REACTIONS,40,57,ALLERGIES TO BEE AND,121,140,0.4,-0.88,1,-1,-1,ALLERGIC REACTIONS,ALLERGIES,RO-cause_of
900132,"Although many foods have been described to cause an ALLERGIC REACTION, only a few are responsible for the majority of HYPERSENSITIVITY SYMPTOMS",ALLERGIC REACTION,52,69,HYPERSENSITIVITY SYMPTOMS,118,143,0.8485281374,0.9545584412,1,1,-1,ALLERGIC REACTION,HYPERSENSITIVITY SYMPTOMS,RO-cause_of
900136,"Diabetic ketoacidosis: diagnosis, DIABETIC KETOACIDOSIS treatment, HYPERGLYCEMIC HYPEROSMOLAR NONKETOTIC COMA and maintenance treatment after hyperglycemic crisis.",HYPERGLYCEMIC HYPEROSMOLAR NONKETOTIC COMA,67,108,DIABETIC KETOACIDOSIS,34,55,0.1348399725,-0.9595480083,1,-1,-1,HYPEROSMOLAR NONKETOTIC COMA,DIABETIC KETOACIDOSIS,RO-cause_of
900137,"Both DIABETIC KETOACIDOSIS (DKA) and hyperglycemic, HYPEROSMOLAR NONKETOTIC COMA (HHNC) are stressful metabolic occurrences brought about by the orchestration of numerous events.",HYPEROSMOLAR NONKETOTIC COMA,52,79,DIABETIC KETOACIDOSIS,5,26,0.377964473,-0.8866106581,1,-1,-1,HYPEROSMOLAR NONKETOTIC COMA,DIABETIC KETOACIDOSIS,RO-cause_of
900138,"However, the children who were exposed to a dog at home during early childhood developed DOG HYPERSENSITIVITY SYMPTOMS significantly earlier and had DOG HYPERSENSITIVITY slightly more often than the subjects with a later exposure or no exposure to dog.",DOG HYPERSENSITIVITY SYMPTOMS,89,117,DOG HYPERSENSITIVITY,89,109,0.9647638212,0.9894291464,1,1,-1,HYPERSENSITIVITY SYMPTOMS,HYPERSENSITIVITY,RO-cause_of
900139,We previously reported that allergic rhinitis was an aggravating factor for GRAVES' DISEASE and that THYROTOXICOSIS relapsed 2 months after an allergic attack.,THYROTOXICOSIS,101,115,GRAVES' DISEASE,76,90,0.6575959492,0.8972787848,1,-1,-1,GRAVES' DISEASE,THYROTOXICOSIS,RO-cause_of
900149,"This entailed further analysis of their birth history, FAMILY ATOPIC HISTORY specific allergic diseases (ALLERGIC RHINITIS atopic dermatitis, asthma), hernia type (direct or indirect), the onset of chronic cough and asthma.",ALLERGIC RHINITIS,105,121,FAMILY ATOPIC HISTORY,55,76,0.1601281538,-0.9519615539,1,-1,-1,ALLERGIC RHINITIS,ATOPIC,RO-cause_of
900150,"To the best of our knowledge, this is the first reported case of a TONGUE BASE HAMARTOMA in a patient with TUBEROUS SCLEROSIS",TONGUE BASE HAMARTOMA,67,88,TUBEROUS SCLEROSIS,107,124,0.6741998625,0.9022599588,1,-1,-1,TUBEROUS SCLEROSIS,HAMARTOMA,RO-cause_of
900151,"The authors revealed that long-term compensation of diabetes, the duration of DIABETES and the biological age of the diabetics were statistically significant for the manifestation of DIABETIC NEUROPATHY",DIABETIC NEUROPATHY,183,202,DIABETES,78,86,1,1,1,1,1,DIABETIC NEUROPATHY,DIABETES,RO-cause_of
900154,These results showed that STA 1 could effectively suppress the Der p 5 induced ALLERGIC REACTIONS and the availability of STA 1 for the treatment of ALLERGIC ASTHMA was demonstrated in this study.,ALLERGIC ASTHMA,149,163,ALLERGIC REACTIONS,79,97,0.583459966,0.8750379898,1,-1,-1,ALLERGIC ASTHMA,ALLERGIC REACTIONS,RO-cause_of
900157,"The physician should ask about a history of DIABETES of long duration, including other manifestations of DIABETIC NEUROPATHY",DIABETIC NEUROPATHY,105,123,DIABETES,44,52,0.9773555549,0.9932066665,1,1,-1,DIABETIC NEUROPATHY,DIABETES,RO-cause_of
900160,"Unfortunately the nutritional adequacy of the postoperative diet has frequently been overlooked, and in the months to years that follow, NUTRITIONAL DEFICIENCIES have become apparent, including PROTEIN CALORIE MALNUTRITION and various vitamin and mineral deficiencies contributing to medical illnesses and limiting optimal health.",PROTEIN CALORIE MALNUTRITION,194,221,NUTRITIONAL DEFICIENCIES,137,161,0.7537783614,0.9261335084,1,1,-1,CALORIE MALNUTRITION,NUTRITIONAL DEFICIENCIES,RO-cause_of
900163,"Allergic eye diseases are characterized by IgE mast cell mediated, as seen in allergic conjunctivitis; chronic mast cell activation and eosinophil/T lymphocyte mediated response, as seen in giant papillary conjunctivitis, VERNAL KERATOCONJUNCTIVITIS and atopic keratoconjunctivitis; or a T lymphocyte mediated response in contact ocular ALLERGY",VERNAL KERATOCONJUNCTIVITIS,222,248,ALLERGY,337,344,0.8427009716,0.9528102915,1,1,-1,VERNAL KERATOCONJUNCTIVITIS,ALLERGY,RO-cause_of
900166,"One suggestion for why some people develop ATOPIC DISEASES such as allergic rhinitis, asthma and ATOPIC ECZEMA is that there are alterations in their intestinal microflora not seen in those without such conditions.",ATOPIC ECZEMA,97,109,ATOPIC DISEASES,43,58,0.0990147543,-0.9702955737,1,-1,-1,ATOPIC ECZEMA,ATOPIC,RO-cause_of
900167,Selective food intake induced MICRONUTRIENT DEFICITS (moderate undernutrition) and can later lead to PROTEIN CALORIE MALNUTRITION (PCM.,PROTEIN CALORIE MALNUTRITION,101,128,MICRONUTRIENT DEFICITS,30,52,0.990147543,0.9970442629,1,1,-1,PROTEIN CALORIE MALNUTRITION,DEFICITS,RO-cause_of
900168,"Eleven renal biopsy specimens from patients with LUPUS MEMBRANOUS GLOMERULOPATHY (LMGN) and 16 from patients with primary (NONLUPUS MEMBRANOUS GLOMERULOPATHY (NLMGN) for whom light, electron microscopy and immunofluorescence microscopy, and full clinical data were available were examined quantitatively.",NONLUPUS MEMBRANOUS GLOMERULOPATHY,123,156,LUPUS MEMBRANOUS GLOMERULOPATHY,49,80,0.1203858531,-0.9638842441,1,-1,-1,NONLUPUS,LUPUS,RO-cause_of
900172,"In contrast to ALLERGIC CONTACT DERMATITIS however, drug induced HYPERSENSITIVITY REACTIONS of the skin have enormous variability with regard to their pathophysiological pathways, clinical signs of symptoms, severity, and the drugs which can elicit these reactions.",ALLERGIC CONTACT DERMATITIS,15,42,HYPERSENSITIVITY REACTIONS,65,91,0,-1,1,-1,-1,ALLERGIC CONTACT DERMATITIS,HYPERSENSITIVITY REACTIONS,RO-cause_of
900174,"As compared to normal persons, the content of serum IgE in the patients was significantly increased; the content of IgE in tuberculosis patients appeared as high as that in patients suffering from ATOPIC ALLERGY (POLLENOSIS, bronchial asthma",POLLENOSIS,213,223,ATOPIC ALLERGY,197,211,0.1924500897,-0.9422649731,1,-1,-1,POLLENOSIS,ATOPIC ALLERGY,RO-cause_of
900177,Sensitization to allergens of Japanese cedar pollen is known to cause canine ATOPIC DERMATITIS as approximately 10% of ATOPIC dogs in Japan were positive to the pollen allergen.,ATOPIC DERMATITIS,77,94,ATOPIC,77,83,0.6255432422,0.8876629727,1,1,-1,ATOPIC DERMATITIS,ATOPIC,RO-cause_of
900178,"Physiological role and occurrence of iodine in the organism was reviewed, moreover, ALLERGIC REACTIONS caused by iodine containing chemicals (IODINE AND TROPOMYOSINE ALLERGY",ALLERGIC REACTIONS,84,102,(IODINE AND TROPOMYOSINE ALLERGY,141,173,0.9958932065,0.998767962,1,1,-1,ALLERGY,ALLERGIC REACTIONS,RO-cause_of
900179,ATOPIC DERMATITIS the dermatologic manifestation of the ATOPIC DIATHESIS has a variety of clinical presentations.,ATOPIC DERMATITIS,0,16,ATOPIC DIATHESIS,56,72,0.9931270663,0.9979381199,1,-1,-1,ATOPIC DERMATITIS,ATOPIC DIATHESIS,RO-cause_of
900181,It has been approved for treatment of the ANEMIA OF CHRONIC RENAL FAILURE both in progressive renal failure and ENDSTAGE RENAL FAILURE (ESRD.,ENDSTAGE RENAL FAILURE (ESRD,112,140,ANEMIA OF CHRONIC RENAL FAILURE,42,72,0.4522670169,-0.8643198949,1,1,-1,ANEMIA OF CHRONIC RENAL FAILURE,RENAL FAILURE,RO-cause_of
900184,"Some practitioners do, however, use digoxin in this setting Diuretic agents Furosemide (Lasix)  Inhibits sodium and chloride absorption in the proximal tubules, distal tubules, and loop of Henle, thereby leading to diuresis  Usual dose is 20 80 mg/d adjusted to achieve desired diuretic effect  Relief of edema or ascites in the setting of right heart failure  Excessive DIURESIS ELECTROLYTE DEPLETION ALLERGIC REACTIONS in patients with SULFA ALLERGY  Use with caution as excessive diuresis may precipitate hemodynamic collapse.",DIURESIS ELECTROLYTE DEPLETION ALLERGIC REACTIONS,371,419,SULFA ALLERGY,438,450,0.9370425713,0.9811127714,1,-1,1,ALLERGIC REACTIONS,ALLERGY,RO-cause_of
900185,"91 , 251 ] bleeding events (bruising, epistaxis, GI BLEEDING, hematuria, MELENA) reported [ 1 ] Monitor PT or other appropriate tests closely if used with warfarin; reduce anticoagulant dosage if necessary [ 1 , 61 , 62 , 68 , 91 , 251 ]   Anticonvulsants (carbamazepine, phenytoin",MELENA,73,79,GI BLEEDING,49,60,0,-1,1,-1,-1,MELENA,GI BLEEDING,RO-cause_of
900186,NICKEL ALLERGY is manifested as contact allergic eczema elicited by DELAYED TYPE HYPERSENSITIVITY the reaction being mediated by T lymphocytes.,DELAYED TYPE HYPERSENSITIVITY,68,97,NICKEL ALLERGY,0,13,0.9970544855,0.9991163457,1,1,1,ALLERGY,HYPERSENSITIVITY,RO-cause_of
900190,We describe DIABETIC KETOACIDOSIS and transient severe insulin resistance in a woman with DIABETES who was treated with subcutaneous terbutaline infusion,DIABETIC KETOACIDOSIS,12,33,DIABETES,90,98,0.9113223769,0.9733967131,1,1,1,DIABETIC KETOACIDOSIS,DIABETES,RO-cause_of
900192,All siblings were diagnosed with ATOPIC DERMATITIS and participated in a standardized interview covering aspects of ATOPY and atopic dermatitis,ATOPIC DERMATITIS,33,50,ATOPY,116,121,0.1825741858,-0.9452277443,1,-1,-1,ATOPIC DERMATITIS,ATOPY,RO-cause_of
900195,"Like other ATOPIC DISEASES such as asthma and hay fever, the prevalence of ATOPIC ECZEMA has increased substantially over the last 30 years, for reasons largely unknown.",ATOPIC ECZEMA,75,88,ATOPIC DISEASES,11,26,0.1889822365,-0.9433053291,1,-1,-1,ATOPIC ECZEMA,ATOPIC,RO-cause_of
900196,"Identification of more LQTS mutations in SIDS cases could provide new insights into the pathophysiology of SIDS and, consequently, reduce the number of unexplained SUDDEN INFANT DEATHS",SUDDEN INFANT DEATHS,164,184,SIDS,41,44,0.7293249575,0.9187974873,1,1,-1,SIDS,SUDDEN INFANT DEATHS,RO-cause_of
900197,SEPSIS refers to a SYSTEMIC INFLAMMATORY RESPONSE SYNDROME resulting from a microbial infection.,SYSTEMIC INFLAMMATORY RESPONSE SYNDROME,19,58,SEPSIS,0,6,0.3202563076,-0.9039231077,1,1,-1,SYSTEMIC INFLAMMATORY RESPONSE SYNDROME,SEPSIS,RO-cause_of
900201,"The most common cause of SUDDEN INFANT DEATH is SIDS, defined as 'the sudden and unexpected death of an infant under 1 year of age, with onset of lethal episode apparently occurring during sleep, that remains unexplained after a thorough investigation including performance of a complete autopsy review of the circumstances of death and clinical history",SUDDEN INFANT DEATH,25,44,SIDS,48,52,0.8485281374,0.9545584412,1,-1,-1,SIDS,SUDDEN INFANT DEATH,RO-cause_of
900203,Gilliam recognized SUBACUTE CUTANEOUS LUPUS ERYTHEMATOSUS (SCLE) as a lupus specific eruption that identifies a unique SUBSET OF LUPUS ERYTHEMATOSUS.,SUBSET OF LUPUS ERYTHEMATOSUS,119,148,SUBACUTE CUTANEOUS LUPUS ERYTHEMATOSUS,19,56,0.9258200998,0.9777460299,1,1,-1,SUBACUTE CUTANEOUS LUPUS ERYTHEMATOSUS,SUBSET,RO-cause_of
900207,"In view of clinical reports implicating DIABETIC AUTONOMIC NEUROPATHY as the cause of gastrointestinal dysfunction in DIABETES MELLITUS, neurochemical and histochemical techniques were used to study changes in the innervation of the gut",DIABETIC AUTONOMIC NEUROPATHY,40,69,DIABETES MELLITUS,118,135,0.9958932065,0.998767962,1,1,1,DIABETIC AUTONOMIC NEUROPATHY,DIABETES MELLITUS,RO-cause_of
900209,"A questionnaire was used to obtain information about respiratory illnesses (pneumonia, bronchitis, bronchiolitis, sinusitis and croup); ATOPY (allergic rhinitis and ATOPIC DERMATITIS) and familial allergic diseases (parental asthma and atopy",ATOPIC DERMATITIS,165,182,ATOPY,136,141,0.127000127,-0.9618999619,1,1,-1,ATOPIC DERMATITIS,ATOPY,RO-cause_of
900211,"ATOPIC CONDITIONS include allergic rhinitis, atopic eczema, ALLERGIC CONJUNCTIVITIS and asthma.",ALLERGIC CONJUNCTIVITIS,60,82,ATOPIC CONDITIONS,0,17,0.5070925528,0.8521277658,1,-1,-1,ALLERGIC CONJUNCTIVITIS,ATOPIC,RO-cause_of
900213,DEFICIENCY OF SULFUR AMINO acids occurs in certain pathophysiological states such as PROTEIN CALORIE MALNUTRITION,DEFICIENCY OF SULFUR AMINO,0,26,PROTEIN CALORIE MALNUTRITION,85,112,0.9970544855,0.9991163457,1,-1,-1,CALORIE MALNUTRITION,DEFICIENCY,RO-cause_of
900218,We report a rare cause of GASTROINTESTINAL BLEEDING in a 5-year-old boy with hematemesis and MELENA for a month,GASTROINTESTINAL BLEEDING,26,51,MELENA,93,99,0.6804138174,0.9041241452,1,-1,1,MELENA,GASTROINTESTINAL BLEEDING,RO-cause_of
900220,"Gamma-glutamylornithine has been identified in urine from patients with the HHH syndrome (HYPERORNITHINEMIA, hyperammonemia and homocitrullinuria) and with GYRATE ATROPHY associated with hyperornithinemia",GYRATE ATROPHY,156,170,HYPERORNITHINEMIA,90,107,0,-1,1,-1,-1,GYRATE ATROPHY,HYPERORNITHINEMIA,RO-cause_of
900221,"Comparison with 2,901 controls, and mutual comparison of categories, showed that suicides involving ASPHYXIATION were closely associated with ASPHYXIA at birth, suicides by violent mechanical means were associated with mechanical birth trauma and drug addiction was associated with opiate and/or barbiturate administration to mothers during labor.",ASPHYXIATION,100,111,ASPHYXIA,100,108,0.214422507,-0.9356732479,1,-1,-1,ASPHYXIATION,ASPHYXIA,RO-cause_of
900222,"In this chapter, various methods of protecting a worker from WORK RELATED ALLERGY including immediate and DELAYED TYPE HYPERSENSITIVITIES are considered and reviewed.",DELAYED TYPE HYPERSENSITIVITIES,106,137,WORK RELATED ALLERGY,61,81,0.4242640687,-0.8727207794,1,-1,-1,ALLERGY,HYPERSENSITIVITIES,RO-cause_of
900224,MECONIUM PERITONITIS is a chemical peritonitis which occurs following BOWEL PERFORATION during fetal life.,MECONIUM PERITONITIS,0,19,BOWEL PERFORATION,70,87,0.9722718241,0.9916815472,1,1,1,MECONIUM PERITONITIS,BOWEL PERFORATION,RO-cause_of
900230,"Signs of HEMORRHAGIC SHOCK or HYPOVOLEMIA out of proportion to degree of vaginal bleeding suggest abruptio placentae, as do DIC and uterine irritability and tenderness",HEMORRHAGIC SHOCK,9,26,HYPOVOLEMIA,30,41,0.2156655464,-0.9353003361,1,-1,-1,HEMORRHAGIC SHOCK,HYPOVOLEMIA,RO-cause_of
900231,When comparing 1% hydrocortisone in a stabilized 10% urea cream with 0.1% betamethasone 17 valerate cream in a double blind study on 49 patients with ATOPIC DERMATITIS or ATOPIC WINTER FEET betamethasone cream was found to be the most potent.,ATOPIC DERMATITIS,150,166,ATOPIC WINTER FEET,171,189,0,-1,1,-1,-1,ATOPIC DERMATITIS,ATOPIC,RO-cause_of
