_unit_id,_created_at,_canary,_id,_started_at,_channel,_trust,_worker_id,_country,_region,_city,_ip,relations,step_1_select_the_valid_relations,step_2a_copy__paste_only_the_words_from_the_sentence_that_express_the_relation_you_selected_in_step1,step_2b_if_you_selected_none_in_step_1_explain_why,b1,b2,e1,e2,expertdecision,relation,sent_id,relation,sentence,term1,term2
494240876,6/27/2014 14:52:24,,1306137786,6/27/2014 14:52:00,zoombucks,1,5919735,USA,PA,Doylestown,173.49.91.231,[MANIFESTATION],[MANIFESTATION],manifestation,N/A,183,78,202,86,1,RO-cause_of,900151,,"The authors revealed that long-term compensation of diabetes, the duration of DIABETES and the biological age of the diabetics were statistically significant for the manifestation of DIABETIC NEUROPATHY",DIABETIC NEUROPATHY,DIABETES
494240876,6/27/2014 17:26:20,,1306257877,6/27/2014 17:24:38,neodev,1,11460728,CAN,BC,Burnaby,70.79.16.165,[MANIFESTATION],[MANIFESTATION],DIABETES manifestation DIABETIC NEUROPATHY,manifests,183,78,202,86,1,RO-cause_of,900151,,"The authors revealed that long-term compensation of diabetes, the duration of DIABETES and the biological age of the diabetics were statistically significant for the manifestation of DIABETIC NEUROPATHY",DIABETIC NEUROPATHY,DIABETES
494240876,6/28/2014 20:55:44,,1307631218,6/28/2014 20:55:09,prodege,1,2145087,USA,,,184.53.0.137,[MANIFESTATION],[MANIFESTATION],the manifestation of,N/A,183,78,202,86,1,RO-cause_of,900151,,"The authors revealed that long-term compensation of diabetes, the duration of DIABETES and the biological age of the diabetics were statistically significant for the manifestation of DIABETIC NEUROPATHY",DIABETIC NEUROPATHY,DIABETES
494240876,6/29/2014 01:43:18,,1307982120,6/29/2014 01:43:12,coinworker,1,26727958,USA,OH,Cleveland,75.187.153.207,[CAUSES],[CAUSES],of,j,183,78,202,86,1,RO-cause_of,900151,,"The authors revealed that long-term compensation of diabetes, the duration of DIABETES and the biological age of the diabetics were statistically significant for the manifestation of DIABETIC NEUROPATHY",DIABETIC NEUROPATHY,DIABETES
494240876,6/29/2014 19:02:38,,1309474772,6/29/2014 19:00:14,instagc,1,18531561,CAN,ON,Mississauga,99.229.185.45,[CAUSES],[CAUSES],significant for the manifestation,One causes the other.,183,78,202,86,1,RO-cause_of,900151,,"The authors revealed that long-term compensation of diabetes, the duration of DIABETES and the biological age of the diabetics were statistically significant for the manifestation of DIABETIC NEUROPATHY",DIABETIC NEUROPATHY,DIABETES
494240876,6/30/2014 13:51:58,,1310483478,6/30/2014 13:49:20,prodege,1,19285837,GBR,A4,Paulton,86.134.178.184,[SYMPTOM],[SYMPTOM],statistically significant for manifestation,N/a,183,78,202,86,1,RO-cause_of,900151,,"The authors revealed that long-term compensation of diabetes, the duration of DIABETES and the biological age of the diabetics were statistically significant for the manifestation of DIABETIC NEUROPATHY",DIABETIC NEUROPATHY,DIABETES
494240876,7/1/2014 15:38:00,,1311606438,7/1/2014 15:37:11,neodev,1,18339121,USA,SC,Sumter,173.93.188.194,[MANIFESTATION],[MANIFESTATION],of,na,183,78,202,86,1,RO-cause_of,900151,,"The authors revealed that long-term compensation of diabetes, the duration of DIABETES and the biological age of the diabetics were statistically significant for the manifestation of DIABETIC NEUROPATHY",DIABETIC NEUROPATHY,DIABETES
494240876,7/1/2014 18:50:18,,1311871548,7/1/2014 18:48:52,superrewards,1,23360280,CAN,BC,Burnaby,96.49.236.137,[MANIFESTATION],[MANIFESTATION],significant for the manifestation of,N/A,183,78,202,86,1,RO-cause_of,900151,,"The authors revealed that long-term compensation of diabetes, the duration of DIABETES and the biological age of the diabetics were statistically significant for the manifestation of DIABETIC NEUROPATHY",DIABETIC NEUROPATHY,DIABETES
494240876,7/1/2014 20:43:06,,1312032298,7/1/2014 20:41:49,prodege,1,9378607,GBR,U8,Edinburgh,94.1.221.80,[SYMPTOM],[SYMPTOM],manifestation of,N/A,183,78,202,86,1,RO-cause_of,900151,,"The authors revealed that long-term compensation of diabetes, the duration of DIABETES and the biological age of the diabetics were statistically significant for the manifestation of DIABETIC NEUROPATHY",DIABETIC NEUROPATHY,DIABETES
494240876,7/1/2014 21:31:01,,1312087446,7/1/2014 21:28:55,clixsense,1,6552684,USA,DE,Wilmington,98.114.2.161,[CAUSES],[CAUSES],significant for the manifestation,n/a,183,78,202,86,1,RO-cause_of,900151,,"The authors revealed that long-term compensation of diabetes, the duration of DIABETES and the biological age of the diabetics were statistically significant for the manifestation of DIABETIC NEUROPATHY",DIABETIC NEUROPATHY,DIABETES
494240876,7/2/2014 02:40:03,,1312391616,7/2/2014 02:39:11,rewardsspot,1,17763704,USA,VA,Manassas,198.7.62.204,[MANIFESTATION],[MANIFESTATION],DIABETES DIABETIC NEUROPATHY,n/a,183,78,202,86,1,RO-cause_of,900151,,"The authors revealed that long-term compensation of diabetes, the duration of DIABETES and the biological age of the diabetics were statistically significant for the manifestation of DIABETIC NEUROPATHY",DIABETIC NEUROPATHY,DIABETES
494240876,7/2/2014 16:37:33,,1313062673,7/2/2014 16:37:21,piyoogle,1,27058262,USA,AZ,Phoenix,23.105.7.135,[PREVENTS] [IS_A] [OTHER] [NONE],"[PREVENTS]
[IS_A]
[OTHER]
[NONE]",3.21.123.123.123.123,3.21.123.123.123.123,183,78,202,86,1,RO-cause_of,900151,,"The authors revealed that long-term compensation of diabetes, the duration of DIABETES and the biological age of the diabetics were statistically significant for the manifestation of DIABETIC NEUROPATHY",DIABETIC NEUROPATHY,DIABETES
494240876,7/2/2014 17:50:27,,1313125140,7/2/2014 17:49:57,prodege,1,18960400,GBR,H9,London,109.154.7.94,[ASSOCIATED_WITH],[ASSOCIATED_WITH],compensation,dsdsdsds,183,78,202,86,1,RO-cause_of,900151,,"The authors revealed that long-term compensation of diabetes, the duration of DIABETES and the biological age of the diabetics were statistically significant for the manifestation of DIABETIC NEUROPATHY",DIABETIC NEUROPATHY,DIABETES
494240876,7/2/2014 17:51:32,,1313126244,7/2/2014 17:50:57,tremorgames,1,17552229,GBR,H9,London,109.154.7.94,[LOCATION],[LOCATION],compensation,dsdsdsds,183,78,202,86,1,RO-cause_of,900151,,"The authors revealed that long-term compensation of diabetes, the duration of DIABETES and the biological age of the diabetics were statistically significant for the manifestation of DIABETIC NEUROPATHY",DIABETIC NEUROPATHY,DIABETES
494240876,7/2/2014 17:52:46,,1313127641,7/2/2014 17:51:33,neodev,1,18755947,GBR,H2,Accrington,80.47.187.155,[MANIFESTATION],[MANIFESTATION],manifestation,n/a,183,78,202,86,1,RO-cause_of,900151,,"The authors revealed that long-term compensation of diabetes, the duration of DIABETES and the biological age of the diabetics were statistically significant for the manifestation of DIABETIC NEUROPATHY",DIABETIC NEUROPATHY,DIABETES
494240877,6/27/2014 15:25:49,,1306170857,6/27/2014 15:25:18,tremorgames,1,24449707,CAN,QC,Laval,96.21.249.72,[MANIFESTATION],[MANIFESTATION],"Diabetic neuropathy is common in patients with DIABETES MELLITUS,",N/A,109,47,128,64,1,RO-cause_of,900046,,"Diabetic neuropathy is common in patients with DIABETES MELLITUS, and 7.5% of diabetics experience pain from DIABETIC NEUROPATHY",DIABETIC NEUROPATHY,DIABETES MELLITUS
494240877,6/27/2014 17:29:06,,1306259716,6/27/2014 17:27:40,neodev,1,11460728,CAN,BC,Burnaby,70.79.16.165,[ASSOCIATED_WITH] [SYMPTOM] [PART_OF],"[SYMPTOM]
[ASSOCIATED_WITH]
[PART_OF]","DIABETES MELLITUS, 7.5% diabetics experience DIABETIC NEUROPATHY",part of/symptom/associated with,109,47,128,64,1,RO-cause_of,900046,,"Diabetic neuropathy is common in patients with DIABETES MELLITUS, and 7.5% of diabetics experience pain from DIABETIC NEUROPATHY",DIABETIC NEUROPATHY,DIABETES MELLITUS
494240877,6/27/2014 17:34:59,,1306263947,6/27/2014 17:34:26,bitcoinget,1,23510223,GBR,H9,London,86.143.16.29,[ASSOCIATED_WITH],[ASSOCIATED_WITH],is common in,N/A,109,47,128,64,1,RO-cause_of,900046,,"Diabetic neuropathy is common in patients with DIABETES MELLITUS, and 7.5% of diabetics experience pain from DIABETIC NEUROPATHY",DIABETIC NEUROPATHY,DIABETES MELLITUS
494240877,6/27/2014 17:47:14,,1306273056,6/27/2014 17:47:05,prodege,1,12944140,GBR,C8,Croydon,92.21.0.165,[NONE],[NONE],n/a,n/a,109,47,128,64,1,RO-cause_of,900046,,"Diabetic neuropathy is common in patients with DIABETES MELLITUS, and 7.5% of diabetics experience pain from DIABETIC NEUROPATHY",DIABETIC NEUROPATHY,DIABETES MELLITUS
494240877,6/27/2014 19:42:52,,1306367759,6/27/2014 19:42:22,prodege,1,8446489,GBR,G5,Tunbridge Wells,2.101.167.235,[CAUSES],[CAUSES],"DIABETES MELLITUS, DIABETIC NEUROPATHY",N/A,109,47,128,64,1,RO-cause_of,900046,,"Diabetic neuropathy is common in patients with DIABETES MELLITUS, and 7.5% of diabetics experience pain from DIABETIC NEUROPATHY",DIABETIC NEUROPATHY,DIABETES MELLITUS
494240877,6/28/2014 19:28:03,,1307402817,6/28/2014 19:27:52,clixsense,1,17950689,GBR,X5,Cardiff,89.168.38.216,[MANIFESTATION],[MANIFESTATION],"MELLITUS,",NONE,109,47,128,64,1,RO-cause_of,900046,,"Diabetic neuropathy is common in patients with DIABETES MELLITUS, and 7.5% of diabetics experience pain from DIABETIC NEUROPATHY",DIABETIC NEUROPATHY,DIABETES MELLITUS
494240877,6/28/2014 23:57:47,,1307818580,6/28/2014 23:56:19,prodege,1,21891314,AUS,7,Mornington,203.214.41.115,[SYMPTOM],[SYMPTOM],experience pain from,N/A,109,47,128,64,1,RO-cause_of,900046,,"Diabetic neuropathy is common in patients with DIABETES MELLITUS, and 7.5% of diabetics experience pain from DIABETIC NEUROPATHY",DIABETIC NEUROPATHY,DIABETES MELLITUS
494240877,6/29/2014 12:15:28,,1308927103,6/29/2014 12:14:55,instagc,1,27747022,USA,,,73.191.78.63,[SYMPTOM],[SYMPTOM],common in patients with,N/A,109,47,128,64,1,RO-cause_of,900046,,"Diabetic neuropathy is common in patients with DIABETES MELLITUS, and 7.5% of diabetics experience pain from DIABETIC NEUROPATHY",DIABETIC NEUROPATHY,DIABETES MELLITUS
494240877,6/29/2014 15:00:08,,1309027827,6/29/2014 14:59:39,instagc,1,18960682,GBR,,,86.29.151.52,[SYMPTOM],[SYMPTOM],is common in,N/a,109,47,128,64,1,RO-cause_of,900046,,"Diabetic neuropathy is common in patients with DIABETES MELLITUS, and 7.5% of diabetics experience pain from DIABETIC NEUROPATHY",DIABETIC NEUROPATHY,DIABETES MELLITUS
494240877,6/29/2014 16:01:16,,1309058258,6/29/2014 16:00:34,neodev,1,14861092,GBR,A7,Birmingham,90.194.128.8,[ASSOCIATED_WITH],[ASSOCIATED_WITH],diabetics,N/A,109,47,128,64,1,RO-cause_of,900046,,"Diabetic neuropathy is common in patients with DIABETES MELLITUS, and 7.5% of diabetics experience pain from DIABETIC NEUROPATHY",DIABETIC NEUROPATHY,DIABETES MELLITUS
494240877,6/29/2014 17:01:13,,1309102626,6/29/2014 17:00:40,elite,1,27769923,GBR,J8,Nottingham,2.100.251.81,[ASSOCIATED_WITH],[ASSOCIATED_WITH],"Diabetic neuropathy is common in patients with DIABETES MELLITUS,",N/A,109,47,128,64,1,RO-cause_of,900046,,"Diabetic neuropathy is common in patients with DIABETES MELLITUS, and 7.5% of diabetics experience pain from DIABETIC NEUROPATHY",DIABETIC NEUROPATHY,DIABETES MELLITUS
494240877,6/29/2014 19:24:42,,1309522647,6/29/2014 19:24:08,prodege,1,27096445,GBR,H9,London,86.186.168.254,[SYMPTOM],[SYMPTOM],"DIABETES MELLITUS, DIABETIC NEUROPATHY",n/a,109,47,128,64,1,RO-cause_of,900046,,"Diabetic neuropathy is common in patients with DIABETES MELLITUS, and 7.5% of diabetics experience pain from DIABETIC NEUROPATHY",DIABETIC NEUROPATHY,DIABETES MELLITUS
494240877,6/30/2014 05:29:19,,1310121362,6/30/2014 05:28:39,prodege,1,17334212,CAN,NB,Fredericton,142.162.40.77,[SYMPTOM],[SYMPTOM],"Diabetic neuropathy common in patients with DIABETES MELLITUS,",N/A,109,47,128,64,1,RO-cause_of,900046,,"Diabetic neuropathy is common in patients with DIABETES MELLITUS, and 7.5% of diabetics experience pain from DIABETIC NEUROPATHY",DIABETIC NEUROPATHY,DIABETES MELLITUS
494240877,7/2/2014 01:25:27,,1312313409,7/2/2014 01:24:17,instagc,1,23149109,USA,NC,Durham,75.189.206.205,[SYMPTOM],[SYMPTOM],"Diabetic neuropathy common DIABETES MELLITUS,",Symptom,109,47,128,64,1,RO-cause_of,900046,,"Diabetic neuropathy is common in patients with DIABETES MELLITUS, and 7.5% of diabetics experience pain from DIABETIC NEUROPATHY",DIABETIC NEUROPATHY,DIABETES MELLITUS
494240877,7/2/2014 01:26:58,,1312314724,7/2/2014 01:25:58,instagc,1,25387994,CAN,BC,Cache Creek,208.114.155.3,[SYMPTOM] [ASSOCIATED_WITH],"[SYMPTOM]
[ASSOCIATED_WITH]",is common in patients with,N/A,109,47,128,64,1,RO-cause_of,900046,,"Diabetic neuropathy is common in patients with DIABETES MELLITUS, and 7.5% of diabetics experience pain from DIABETIC NEUROPATHY",DIABETIC NEUROPATHY,DIABETES MELLITUS
494240878,6/27/2014 14:51:34,,1306137093,6/27/2014 14:51:04,zoombucks,1,5919735,USA,PA,Doylestown,173.49.91.231,[SYMPTOM],[SYMPTOM],SYNDROME,N/A,101,86,116,92,-1,RO-cause_of,900265,,"The incidence and mortality, pathogenesis, clinical manifestations, and management of SEPSIS and the SEPSIS SYNDROME are reviewed, and the use of antiendotoxin monoclonal antibodies to treat patients with sepsis is discussed",SEPSIS SYNDROME,SEPSIS
494240878,6/27/2014 18:09:26,,1306289261,6/27/2014 18:08:58,prodege,1,15228858,GBR,,,87.115.166.125,[IS_A],[IS_A],and the,N/A,101,86,116,92,-1,RO-cause_of,900265,,"The incidence and mortality, pathogenesis, clinical manifestations, and management of SEPSIS and the SEPSIS SYNDROME are reviewed, and the use of antiendotoxin monoclonal antibodies to treat patients with sepsis is discussed",SEPSIS SYNDROME,SEPSIS
494240878,6/27/2014 20:06:45,,1306379246,6/27/2014 20:06:24,prizezombie,1,19082757,USA,AL,Birmingham,138.26.153.43,[IS_A],[IS_A],and the,NA,101,86,116,92,-1,RO-cause_of,900265,,"The incidence and mortality, pathogenesis, clinical manifestations, and management of SEPSIS and the SEPSIS SYNDROME are reviewed, and the use of antiendotoxin monoclonal antibodies to treat patients with sepsis is discussed",SEPSIS SYNDROME,SEPSIS
494240878,6/28/2014 17:36:25,,1307136349,6/28/2014 17:36:18,prodege,1,18960400,GBR,H9,London,109.154.7.94,[DIAGNOSE_BY_TEST_OR_DRUG],[DIAGNOSE_BY_TEST_OR_DRUG],monoclonal,FDFD,101,86,116,92,-1,RO-cause_of,900265,,"The incidence and mortality, pathogenesis, clinical manifestations, and management of SEPSIS and the SEPSIS SYNDROME are reviewed, and the use of antiendotoxin monoclonal antibodies to treat patients with sepsis is discussed",SEPSIS SYNDROME,SEPSIS
494240878,6/29/2014 15:01:53,,1309028909,6/29/2014 15:00:57,instagc,1,18960682,GBR,,,86.29.151.52,[SYMPTOM],[SYMPTOM],and the,N/a,101,86,116,92,-1,RO-cause_of,900265,,"The incidence and mortality, pathogenesis, clinical manifestations, and management of SEPSIS and the SEPSIS SYNDROME are reviewed, and the use of antiendotoxin monoclonal antibodies to treat patients with sepsis is discussed",SEPSIS SYNDROME,SEPSIS
494240878,7/1/2014 11:56:56,,1311501707,7/1/2014 11:55:20,tremorgames,1,25257192,CAN,ON,Toronto,68.68.11.2,[IS_A],[IS_A],SEPSIS and the SEPSIS SYNDROME,n/a,101,86,116,92,-1,RO-cause_of,900265,,"The incidence and mortality, pathogenesis, clinical manifestations, and management of SEPSIS and the SEPSIS SYNDROME are reviewed, and the use of antiendotoxin monoclonal antibodies to treat patients with sepsis is discussed",SEPSIS SYNDROME,SEPSIS
494240878,7/1/2014 22:46:27,,1312164048,7/1/2014 22:43:32,neodev,1,27608448,USA,SC,Graniteville,24.145.86.46,[PART_OF],[PART_OF],and the SYNDROME,N/A,101,86,116,92,-1,RO-cause_of,900265,,"The incidence and mortality, pathogenesis, clinical manifestations, and management of SEPSIS and the SEPSIS SYNDROME are reviewed, and the use of antiendotoxin monoclonal antibodies to treat patients with sepsis is discussed",SEPSIS SYNDROME,SEPSIS
494240878,7/1/2014 23:01:01,,1312177528,7/1/2014 23:00:44,prodege,1,7061586,AUS,2,Toongabbie,114.76.177.0,[TREATS],[TREATS],treat,n/a,101,86,116,92,-1,RO-cause_of,900265,,"The incidence and mortality, pathogenesis, clinical manifestations, and management of SEPSIS and the SEPSIS SYNDROME are reviewed, and the use of antiendotoxin monoclonal antibodies to treat patients with sepsis is discussed",SEPSIS SYNDROME,SEPSIS
494240878,7/2/2014 01:24:09,,1312312521,7/2/2014 01:23:03,instagc,1,25387994,CAN,BC,Cache Creek,208.114.155.3,[OTHER],[OTHER],and the,Sepsis and sepsis syndrome are similar but not directly related,101,86,116,92,-1,RO-cause_of,900265,,"The incidence and mortality, pathogenesis, clinical manifestations, and management of SEPSIS and the SEPSIS SYNDROME are reviewed, and the use of antiendotoxin monoclonal antibodies to treat patients with sepsis is discussed",SEPSIS SYNDROME,SEPSIS
494240878,7/2/2014 17:51:32,,1313126245,7/2/2014 17:51:06,neodev,1,18755947,GBR,H2,Accrington,80.47.187.155,[ASSOCIATED_WITH],[ASSOCIATED_WITH],SEPSIS and the SEPSIS,n/a,101,86,116,92,-1,RO-cause_of,900265,,"The incidence and mortality, pathogenesis, clinical manifestations, and management of SEPSIS and the SEPSIS SYNDROME are reviewed, and the use of antiendotoxin monoclonal antibodies to treat patients with sepsis is discussed",SEPSIS SYNDROME,SEPSIS
494240878,7/2/2014 17:52:30,,1313127405,7/2/2014 17:51:55,clixsense,1,19162475,GBR,M3,Frome,82.33.126.30,[ASSOCIATED_WITH],[ASSOCIATED_WITH],SEPSIS SEPSIS SYNDROME,n/a,101,86,116,92,-1,RO-cause_of,900265,,"The incidence and mortality, pathogenesis, clinical manifestations, and management of SEPSIS and the SEPSIS SYNDROME are reviewed, and the use of antiendotoxin monoclonal antibodies to treat patients with sepsis is discussed",SEPSIS SYNDROME,SEPSIS
494240878,7/2/2014 18:31:46,,1313163319,7/2/2014 18:30:47,neodev,1,11460728,CAN,BC,Burnaby,70.79.16.165,[MANIFESTATION],[MANIFESTATION],SEPSIS SEPSIS SYNDROME,manifestation,101,86,116,92,-1,RO-cause_of,900265,,"The incidence and mortality, pathogenesis, clinical manifestations, and management of SEPSIS and the SEPSIS SYNDROME are reviewed, and the use of antiendotoxin monoclonal antibodies to treat patients with sepsis is discussed",SEPSIS SYNDROME,SEPSIS
494240878,7/2/2014 19:10:26,,1313201356,7/2/2014 19:10:10,bitcoinget,1,25255063,GBR,V2,Glasgow,86.174.15.198,[IS_A],[IS_A],and the,N/A,101,86,116,92,-1,RO-cause_of,900265,,"The incidence and mortality, pathogenesis, clinical manifestations, and management of SEPSIS and the SEPSIS SYNDROME are reviewed, and the use of antiendotoxin monoclonal antibodies to treat patients with sepsis is discussed",SEPSIS SYNDROME,SEPSIS
494240878,7/2/2014 19:15:58,,1313206232,7/2/2014 19:15:24,instagc,1,18531561,CAN,ON,Mississauga,99.229.185.45,[PART_OF],[PART_OF],and the SEPSIS SYNDROME,n/a,101,86,116,92,-1,RO-cause_of,900265,,"The incidence and mortality, pathogenesis, clinical manifestations, and management of SEPSIS and the SEPSIS SYNDROME are reviewed, and the use of antiendotoxin monoclonal antibodies to treat patients with sepsis is discussed",SEPSIS SYNDROME,SEPSIS
